/BIC/ZVCH_OKPO,TXTLG
5129572,"Спиртзавод ""Ковылкинский"" ОАО ""Мордовспирт"""
5129589,Ромодановский спиртзавод ОАО(Мордовспирт)
5129595,Мельцанский спиртзавод им. Комсомола
5129603,"Спиртзавод ""Теньгушевский"""
5132746,ФГУП ДЭП №104
5139234,Бийский спиртзавод ОАО (ст.Бийск)
5141354,"АО ""В-СИБПРОМТРАНС"""
5141372,ОАО 'Северо-Западный 'Промжелдортранс'
5141389,"Промжелдортранс МГОАО"""
5148693,Самараавтодор ГУП
5161529,КФЛ `ПРОМЖЕЛДОРТРАНС`
5168626,Дорстройматериалы ОАО
5169287,Павловскгранит ОАО
5217603,ОАО 'Чишминское'
5230650,"ЗАО МПБК ""ОЧАКОВО"""
5261320,"ООО ""МИХАЙЛОВСКИЙ ЗАВОД СИЛИКАТНОГО КИРПИЧА"" , ООО"
5277965,РЕЛИФ ООО
5284901,Навашинский завод стройматериалов ОАО
5296548,ОАО 'Цигель'
5301634,ОАО 'Уральский лизинговый центр'
5307571,ОАО `Силикатный завод № 1`
5308116,"ОАО ""ЛИПЕЦКИЙ СИЛИКАТНЫЙ ЗАВОД"""
5312980,Новосибирскагропромдорстрой ЗАО(Изынский)
5328171,Интрейд ООО
5329526,Красавтодорстрой ОАО
5329578,УМП по благоустройству г.Барнаула(Барнаул)
5346878,ОАО 'Каменный карьер'
5472330,"ОАО ""КПЖТ"""
5475587,"АО ""АВТ"""
5481547,
5639600,
5661218,ОАО 'АГРОХИМИНВЕСТ'
5679120,"ОАО ""СН-МНГ"""
5711131,Котласский ЦБК ОАО (Низовка)
5742686,"АО ""СНХЗ"""
5742746,"АО ""АНХК"""
5744283,ЗАО 'ЭМПИЛС'
5744403,ЭЗТМ ОАО
5744544,"ОАО ""ТВЗ"""
5744550,Торжокский вагоностроительный з-д ОАО
5744567,Абаканвагонмаш АО(Ташеба)
5744656,РУМО ОАО
5744685,"ОАО ""ИВХИМПРОМ"""
5744892,ГАЗ ОАО
5744946,Арзамасский машиностроительный з-д АООТ
5747181,ЛУКойл-Нижегороднефтеоргсинтез ООО
5747206,Ачинский НПЗ ВНК ОАО
5747790,"ОАО ""Пермский домостроительный комбинат"""
5747985,Криогенмаш ОАО
5749375,Пензатяжпромарматура ОАО
5751357,"АО ""НИЖНЕКАМСКТЕХУГЛЕРОД"""
5751509,"АО ""ПЗСП"""
5751515,ЖБК-7 ООО
5753448,"УПРАВЛЕНИЕ ""ТНГП"" ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА"
5753490,"ОАО ""СУРГУТНЕФТЕГАЗ"""
5754593,"Канский биохимический з-д ""КБЗ"" ЗАО (Канск-Енисе"
5755861,Лисма ОАО
5757593,Оргстекло ОАО
5757665,"ПАО ""НЛМК"""
5757676,"АО ""ЕВРАЗ ЗСМК"""
5757765,"ММЗ ""Серп и молот"" ОАО"
5757788,Горьковский металлургический з-д АООТ
5757848,"АО ""ВМЗ"""
5758279,НЭВЗ НПО ОАО
5758546,ОАО 'Прожекторные угли'
5758670,ЗАО 'СКК'
5758687,Волгокабель ОАО
5758954,ОАО 'Сибтехгаз' им. Кима Ф.И.
5759020,Фосфор ОАО (кбш)
5760129,Карабулалес АО (Карабула)
5760431,Тирский леспромхоз
5761637,"КАО ""АЗОТ"""
5761643,"АО ""НАК ""АЗОТ"""
5761695,"ОАО ""ЩЁКИНОАЗОТ"""
5761778,Токем АО фирма
5761784,Владимирский химический з-д ОАО
5761790,Химпласт ОАО
5761815,ОАО 'Волгоградский кислородный завод'
5761821,"ЗАО ""Кубаньтехгаз"""
5761838,"ОАО ""ДАЛЬТЕХГАЗ"""
5761844,ОАО 'Кислород'
5761910,ОАО 'ДПО 'Пластик'
5762016,"ОАО""ПСКОВВТОРМЕТ"""
5762306,Кучуксульфат ОАО
5762341,"Узловское АО ""Пластик"""
5763441,"ПАО ""ХИМПРОМ"""
5763458,"Волгоградское ОАО ""Химпром"""
5763576,"МЖБК ОАО ""ВОЛГОМОСТ"""
5763895,ОАО 'ОСВ СТЕКЛОВОЛОКНО'
5764073,Стройдеталь ЗАО г.Пятигорск
5764417,Ижорские заводы АООТ
5764432,Красный котельщик Таганрогское АО
5764765,ОАО 'Оскольский завод металлург машиностроения'
5765670,"АО ""НИИНЕФТЕПРОМХИМ"""
5766480,"ООО ""КИНЕФ"""
5766505,"АО ""КНПЗ"""
5766528,ОАО 'Новойл'
5766534,ОАО 'УНПЗ'
5766540,ОАО 'Уфанефтехим'
5766563,ОАО 'Уфаоргсинтез'
5766575,"ОАО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ"""
5766586,СНПЗ ОАО
5766600,"АО ""НК НПЗ"""
5766630,Шебекинский химический завод АООТ
5766646,Саратовский нефтеперерабатывающий завод ОАО
5766741,СК-Премьер ОАО
5766758,ЕЗСК ОАО
5766764,Казанский з-д синтетического каучука ОАО
5766787,ОАО 'КЗСК'
5766793,"ПАО ""ОМСКИЙ КАУЧУК"""
5766801,"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ"""
5766824,Ярославский шинный з-д ОАО
5766869,ОАО 'Омскшина'
5767901,Славнефть-ЯНПЗ им.Менделеева(Русойл) ОАО
5769969,"Разрез ""Изыхский"" (ст.Подсиний)"
5770858,"Разрез ""Бородинский"" ОАО ЖДЦ(Заозерная)"
5778402,Высокогорский ГОК ОАО
5778425,Сибнефтьноябрьскнефтегаз ОАО
5778557,ФЛ ОАО 'Уралкалий'
5778804,Агростройконструкция АООТ
5779040,Стройконструкция АООТ (сев)
5780913,Астраханьгазпром ООО
5785164,ОАО 'РУСАЛ Ачинск'
5785218,"АО ""РУСАЛ КРАСНОЯРСК"""
5785247,"ОАО ""РУСАЛ БРАТСК"""
5785253,ФЛ 'ИРКАЗ- СУАЛ'
5785260,Беловский цинковый завод ОАО
5785276,"АО ""РУСАЛ НОВОКУЗНЕЦК"""
5785388,"ФЛ ""АВИСМА"" ПАО ""Корпорация ВСМПО-АВИСМА"" в г. Бер"
5788317,"ЖБКиСД Вологодский з-д ""Дорстройтреста"""
5788576,"ОАО ""ОРГСИНТЕЗ"""
5789104,Волошский целлюлозный завод N5
5797871,Камкабель ОАО
5798345,"ЗАО ""ЛЕНТЕХГАЗ"""
5800142,"ПАО ""ПИГМЕНТ"""
5800515,АКСИ ОАО(Металлургическая)
5800969,"ООО  ""КНАУФ ГИПС ЧЕЛЯБИНСК"""
5801845,ООО 'БИАКСПЛЕН НК'
5802299,"БОГДАНОВИЧСКОЕ ОАО ""ОГНЕУПОРЫ"""
5802307,"ОАО ""СУХОЛОЖСКИЙ ОГНЕУПОРНЫЙ ЗАВОД"""
5804803,"ОАО ""МЕТРОВАГОНМАШ"""
5806481,"АО ""СГ-ТРАНС"""
5807960,"АО ""ГАЛОПОЛИМЕР ПЕРМЬ"""
5807977,ОАО `СИНТЕЗ`
5807983,ОАО 'АЛТАЙХИМПРОМ'
5807999,ОАО 'НЗСП'
5808008,"ОАО ""РОЗ"""
5808020,ОАО 'Силан'
5808600,ОАО 'УАЗ'
5808634,Этна з-д
5842324,ОАО НИИ 'Ярсинтез'
5843200,Режевский химзавод
6401869,"ТД АКАТ"" ООО"
6466231,Вагонтранс ООО
6605939,Гипсополимер ООО
6606330,Красмашзавод ФГУП
6906960,"Артель старателей ""Амур"" ЗАО"
6993338,"АО ""НЕФТЕПЕРЕРАБОТЧИК"""
7500243,Мотовилихинские заводы ОАО
7500504,Серовский механический завод ФГУП
7500705,СтанкомашОАО (ст.Тракторстрой)
7501107,"АО ""ОРСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД"""
7501202,"Завод Сельмаш"" ФГУП"
7501403,Нововятский механический завод ФГУП
7503106,Челябинский автоматно-механический з-д
7503307,Завод им.Серго ПО ГУП
7503566,Нител ОАО
7503903,Сибприбормаш Бийское ПО
7503916,Уфимское моторостроительное ПО ОАО
7504034,Искра НПО ОАО
7505358,Холдинговая компания Дальзавод ОАО
7505708,Казанское Государст. Унитарное НПП им. В.И. Ленина
7505743,Завод КРАСНЫЙ ГИГАНТ ГУП
7506004,ФКП АХК
7506010,Казанское моторостроительное произв.объедин. ОАО
7506104,"ФКП ""ТАМБОВСКИЙ ПОРОХОВОЙ ЗАВОД"""
7506205,Октябрь з-д ОАО
7506501,"ФКП ""САМАРСКИЙ ЗАВОД ""КОММУНАР"""
7506910,Каменск-Уральский литейный з-д
7507110,"ОАО ""КУМЗ"""
7507512,Котласский электромеханический з-д ФГУП
7507601,"ФГУП ""ЗАВОД ИМЕНИ МОРОЗОВА"""
7507802,"ФКП ""ПЕРМСКИЙ ПОРОХОВОЙ ЗАВОД"""
7507908,"Комбинат Каменский"" ФКП"
7508003,Полиэкс АО
7508405,ФКП 'Авангард'
7508902,"АО ""ФНПЦ ""АЛТАЙ"""
7509103,НИИ полимерных материалов
7509505,ФГУП ФЦДТ 'СОЮЗ'
7510017,"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА"""
7510106,Полимер ОАО
7510508,"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА"""
7510709,ОАО 'Завод 'Пластмасс'
7510804,"АО ""БХЗ ИМ. 50-ЛЕТИЯ СССР"""
7511005,"АО ""КАЛИНОВСКИЙ ХИМИЧЕСКИЙ ЗАВОД"""
7511100,Красноуральский химзавод ФГУП
7511206,"ФГУП ""ДВПО ""ВОСХОД"""
7511407,"ФГУП ""ЗАВОД СИНТЕТИЧЕСКИХ ВОЛОКОН ""ЭЛАСТИК"""
7511502,"ОАО ""ЗНАМЯ"""
7511608,"ФКП ""БОЗ"""
7511703,"АО ""НОВОСИБИРСКИЙ ЗАВОД ИСКУССТВЕННОГО ВОЛОКНА"""
7513406,ОАО 'МПЗ'
7513903,"Новосибирский мехзавод ""Искра"""
7514311,БКМПО ОАО
7515204,Машиностроительный завод им.Ф.Э.Дзержинского ФГУП
7515641,"ОА ""НПК ""КБМ"""
7518941,"АО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗ"
7519047,"ОАО ""КИРОВСКИЙ ЗАВОД"""
7520139,"АО ""ПЕРМСКИЙ ЗАВОД ""МАШИНОСТРОИТЕЛЬ"""
7520205,Высокогорский механический завод ФГУП
7526142,Красногорский завод им. С.А.Зверева ОАО
7538145,"АО ""ВОТКИНСКИЙ ЗАВОД"""
7538702,Химстрой УПТК СПАО
7539044,Ижевский мехзавод ФГУП
7542856,"АО ""ПО ""СЕВМАШ"""
7552487,Усть-Катавский вагоностроительный з-д
7554931,Златоустовский машзавод
7557935,ОАО 'НПО Энергомаш'
7618140,"ООО ""480 КЖИ"""
7621060,"ПАО ""ППГХО"""
7621159,Забайкальский ГОК ОАО
7622101,162 КЖИ ФГУП
7622118,"ПАО ""МСЗ"""
7622236,Новосибирский з-д химконцентратов ПО
7622265,"АО ""ЧЕПЕЦКИЙ МЕХАНИЧЕСКИЙ ЗАВОД"""
7622740,"ФГУП ""ПО ""МАЯК"""
7622839,Уральский электрохимический к-т ФГУП
7622928,"АО ""СХК"""
7622986,ГУП 'Горно-химический комбинат'
7623046,"АО ""АЭХК"""
7623106,"АО ""ПО ""ЭЛЕКТРОХИМИЧЕСКИЙ ЗАВОД"""
7623164,Кирово-Чепецкий химический комбинат ОАО
7624904,Уральский электромеханический з-д
7627009,"З-д N3 УПП ЗАО ""ЮУС"""
7627127,ОАО 'СУС'
7627156,АНГАРСКОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА ОАО
7627245,Сибхимстрой СПАО(Базаиха)
7627274,"ОАО ""Управление строительства-604"""
7627363,Североуральское Управление СП ОАО
7627512,Урал ПСП ОАО
7628115,АТОМСТРОЙ ОАО
7628380,"УЖДТ АО ""1 СМТ""(Бирюлево-Тов.)"
7656554,Ленво СУ ГУП
7681828,СУ ДВО ФГУП
7750617,Строительное упр-е Уральского военного округа ФГУП
7771663,100 з-д ЖБИ
7776703,"ФКУ ""ОСК ЗВО"""
7780685,"ФКУ ""ОСК ВОСТОЧНОГО ВОЕННОГО ОКРУГА"""
7811983,137 КЖИ ДГУП
7916280,"Филиал ФГУП ""СУ ДВО МО РФ"" - ""121"
8199679,Войсковая часть 43213
8217673,База 566 КМТС(Ужур)
8327887,211 КЖБИ ГУП МО РФ
8471681,55 ПК-ФЛ ОАО 'ГУОВ'
8498991,81 КЖИ МО
8531530,Промбаза 289 УНР
8573669,ФБУ КП-48 ГУФСИН России по Красноярскому краю
8614411,Концерн Энергоатом ОАО
8621635,Тизол ОАО
8627614,Нижегородский машиностроительный з-д АО
8627997,ОАО 'КЦ'
8628330,ГУП 'ПО КХК ЕНИСЕЙ'
8628755,Металлист ФГУП
8629387,Курганский машзавод ОАО
8680595,ФКУ 'ГЦСП МВД России'
8844022,ОАО 'Завод 'Красное Сормово'
8910472,ФГУП Главное управление Спецстроя по территории Юж
8910500,"УПТК ФГУП ""УСС Дальспецстрой"""
8910629,"ФГУП ""ГУССТ № 8 ПРИ СПЕЦСТРОЕ РОССИИ"""
8914449,УПТК N512 ФГУП УССТ N5
8922963,ГУП ОИК N9 Вятского УЛИУ УИН МЮ РФ
9001320,"ООО ""УРАЛТРАНСМЕТ"""
9005588,"СТПОБП СВЕРДЛОВСКИЙ ЦЕНТР МЕТРОЛОГИИ СВЖД ОАО ""РЖД"
9009304,"ООО ""ТРАНССЕРВИС"""
9013665,"ООО ""ВЕСТКОАЛ ТРАНС"""
9134363,"фл ПАО ""Сбербанк России""- отделение №8626"
9202573,"ООО ""РСТ"""
9218893,ООО `Север-Снаб`
9226059,"ООО ""МОДУС ТРАНС"""
9477206,"ООО МЕЖДУНАРОДНАЯ ГРУППА КОМПАНИЙ ""КОНТИНЕНТ ЛОДЖИ"
9551530,ООО 'ВагонТрансСервис'
9692407,ООО `ЕТК`
9806512,ОАО 'Балтийский Банк'
9806868,ЦентроКредит АКБ ЗАО
9809128,"ПАО КБ ""УБРИР"""
9874048,ООО `ВТТ`
9899864,ООО `РЕЙЛ1520 СЕРВИС`
9904832,"ООО ""СТС-ГРУПП"""
9948503,"ООО ""ИТГ"""
10003494,Алтай-Известь ООО
10016717,"ООО ""АСК"""
10020417,ООО 'УК 'БИЙСКТРАНССЕРВИС'
10022712,"ОАО ""АЛТАЙСКИЙ ХИМПРОМ"""
10057596,"ООО ""СЛК ""СТРОИТЕЛЬСТВО И ТРАНСПОРТ - АЛТАЙ"""
10135057,Кнесид ППО ООО
10169906,СТПОБП Красноярская дирекция по эксплуатации здани
10174706,"ФЛ АО ""Красноярский машиностроительный завод"" - Хи"
10186786,"ООО ""АМАН"""
10194985,"ООО ""ЖелДорСервис"""
10206292,"Красноярское предприятие ""Утес ЛДТ""(Злобино)"
10209327,Сибирская производственная группа ООО
10227644,ООО `ИНТЭКО`
10305692,Байкало-Амурская дирекция по ремонту ТПС - СП Дире
10321461,"ООО ""ТРАНСИНВЕСТГРУПП"""
10326607,ОСТ ООО
10391734,"ООО ""Производственно-коммерческая компания ""АСТРАС"
10409196,Песчанское ОАО
10442839,"ООО ""ФИРМА ГРАНИТ"""
10444927,Росимпортторг ООО
10480001,"ООО ""ГАЗОВЫЕ ТЕХНОЛОГИИ"""
10520479,БИОДЭН ОАО
10526105,ЭЛАРА ООО
10542529,Петроввальская дистанция электроснабжения ПЖД
10555408,"ЗАО ""АВСТРОФОР"""
10557732,"Юбилейное ЛПУ МГ-фл ООО ""Газпром трансгаз Ухта"""
10563112,"АО ""ФОСАГРО-ЧЕРЕПОВЕЦ"""
10594704,"ООО НТЦ ""КОНТАКТ"""
10595974,Донатомстрой АО
10604880,Ильмень ОАО
10612023,Воронежское рудоуправление ОАО
10645057,ОАО 'Авиабор'
10663641,"ВВПКП Оборонпромкомплекс"" ОАО"
10740123,ООО ИПЦ 'Интеграл'
10752528,"ООО ""ТРАНССИБРЕГИОН"""
10755768,Хольц-ЭкспортООО (г.Братск)
10756992,ООО `ВАГОНСЕРВИС`
10762662,ЗАО 'Ангарская селитра'
10778864,"ООО ""ТРАНСАЛЬЯНС ЗАПАД"""
10780364,"ООО ""БАЛТСЕРВИС"""
10784824,ФЛ ПМС-292 Октябрьской ДРП ЦДРП
10803680,дистанция инженерных сооружений Северной дирекции
10828898,Бушевецкий завод ООО
10891552,"ООО ""ТРАНСПРОМ"""
10891690,КЕМЕРОВСКИЙ ФИЛИАЛ БАНК ОАО 'АЛЕМАР'
10891709,ОАО 'МЕЖДУРЕЧЬЕ'
10907244,ОАО КИСЕЛЕВСКОЕ ПТУ
10908054,Кузбассразрезугольтранс ООО
10932242,ООО `ЖД-СЕРВИС`
10942571,ФЛ в г. Киров ООО 'Балтийский лизинг'
10942708,ЖБИК Торговый Дом ООО
10964029,"ЗАО ""ФК"""
10972193,ЗАО `ЭСКО`
11003326,"АО ""ЭКЗА"""
11005383,"ООО ""АРТЕМ"""
11028496,Прогресс ООО
11030056,В.С.И. ЗАО
11037242,Техснабстрой ТПК ООО
11038046,ООО `ЛОГИСТИЧЕСКАЯ КОМПАНИЯ `ДОРИНВЕСТ`
11070854,"ООО ""ТС ЛОГИСТИКА"""
11083650,"ООО ""ТЕХНОТРАНСТОРГ"""
11108812,ЕвроТранзитТ ООО
11152144,Сетос-Сервис ООО
11170308,"ООО ""АВРОРА"""
11176481,"ЗАО ""ТИХВИНХИММАШ"""
11181818,Пикалевский цемент ЗАО
11186083,"ООО ""ПОЛИПЛАСТ СЕВЕРО-ЗАПАД"""
11262542,ООО `ТД `ОВК`
11263926,Технониколь-Транс ООО
11269936,"ООО ""ТРАНСЛОГИСТИКА"""
11274700,ООО `Б-ТрейдГрупп`
11281798,ООО `ЖЕЛДОРОПЕРАТОР`
11325745,ООО `МРТ`
11349510,ЗАО `ВАО АГРОХИМЭКСПОРТ`
11416904,ООО `ИнтерРейл`
11460229,"ФГУП ""НХТ"""
11469875,Управляющая ком-ния ВКМ ЗАО
11515121,ООО `Промметалл`
11523327,ООО `МАГИСТРАЛЬ`
11556947,ООО `ТРИНИТИ ТРАНС`
11566851,ООО `МРК 1520`
11585305,ООО `АБСОЛЮТ ЛИЗИНГ`
11591027,"ООО ""ВДС"""
11608161,"ООО ""ЛОГИСТИКА СЕРВИС"""
11642084,"ООО ""ТК ""АЯКС"""
11673914,Транэкс ООО
11686510,ООО `Эксимтранс`
11726438,ЗАО НПО `ХИМСИНТЕЗ`
11765154,Автодорстрой ОАО
11766567,ООО `Вектор`
11774118,Строительномонтажный поезд ООО
11801938,"ООО ""НЛК Содружество"""
11802984,Симург ЗАО
11819938,"ООО ""ИТА"""
11861082,Норднов ТОО
11877522,ОМТРАНС ООО
11882486,"ОАО ""Омскметаллооптторг"""
11889442,ООО 'Сибинвест'
11909386,ЗАО 'Компания ЛОИТ'
11928403,ООО `ОМ-ТЭК`
11929644,"ООО ""ИМПЭКСТРЕЙД"""
11948274,ООО `ЦИРКОН`
11984716,"ООО ""ПРОМВАГОНСЕРВИС"""
12018086,"АО ""МИНЕРАЛЬНЫЕ УДОБРЕНИЯ"""
12018525,"ООО ""Сатурн-Р"""
12038864,ЛУКОЙЛ-Транс ООО
12145488,ООО `ИНПРОМ`
12172019,ООО `Аспект`
12179760,ООО `ТЕХКОНТРАКТ`
12203837,ФЛ ПО ТРАНСПОРТУ ГАЗА ОАО 'СГ-ТРАНС'
12262395,ООО `Химтрансинвест`
12264603,Сенновская дистанция электроснабжения ПДИ ПЖД
12299323,ООО `МАГИСТРАЛЬ`
12300227,Ирбитский стекольный з-д ООО
12320129,Уралстальпроект АОЗТ
12327605,"ООО ""КОМПЛЕКСНАЯ ЛОГИСТИКА"""
12331044,"ООО ТК ""АЛЬЯНС"""
12339028,"Компания ""Грузовые ж.д. перевозки"" ООО"
12348866,"ООО ""ТК ТРАНСВЭЙ"""
12390518,Уфос ООО
12390839,"ЗАО ""ПМК ""АЛВИ"""
12433595,Полистэт ЗАО
12482984,ООО ТП 'ТРАНСКОМ'
12483630,ООО Транспортная фирма `Гудок`
12484782,Тобольск-Нефтехим ООО
12503491,Агрокомплекс ООО
12503580,"ООО ТД ""Горный"""
12508488,Регион-лес ООО
12524004,Тюменьлес ОАО
12579040,"ООО ""СТ ТРАНС"""
12606601,"ООО ""ЭНЕРГОХИМКОМПЛЕКТ"""
12610100,Магфер СП (ст.Магнитогорск-Груз)
12615971,"ООО ""ТрансСигма"""
12659069,СГ-Транс ОАО Ярославский ф-л
12684707,БашТрансКом ООО
12690562,УПТК УС N30
12692575,ООО 'БИТУМ'
12775025,"Северобайкальские электросети ОАО ""Бурятэнерго"""
12835336,"Спирто-водочный завод Кристалл"" ОАО"
12874922,"Ухтинский филиал ООО ""Газпромтранс"""
12891286,"ООО ""СКС"""
12893026,СГ-Транс ОАО Ухтинский ф-л
12965636,"ООО ""ТАШКОЯР"""
12966038,"АО ""НАПОР"""
13007890,ООО `ТЭК `ВОСТОК`
13150729,ЗАО `МОНОМАХ`
13164401,Синтез Московское ОАО
13187709,"АО ""ТЕХНОСТРОМ"""
13206306,ООО 'ЛИЗИНГ МАШИН И ОБОРУДОВАНИЯ'
13252654,ООО `ТРАНС БАЗИС`
13259739,Бетон ЗАО
13294374,ООО `ХИМРЕСУРС`
13345108,"ООО ""НЕБО"""
13375768,ТОПинвест ООО
13409736,"ООО ""АВТОДОРОГИ"""
13410320,Энергия-Байт ООО
13433156,Желдорком ООО
13436228,Конкрит ООО
13443035,Инвестор ООО
13447990,Красремкомплект ООО
13493872,"ООО ""ТОК МИНУДОБРЕНИЯ"""
13496037,ООО `ТРАНСПОРТНАЯ КОМПАНИЯ ДОРМАШ`
13511073,"Филиал ЗАО ""Юкос-Транссервис"" вг.Ачинске"
13529038,ЭКСПО-ЛИЗИНГ ООО
13545474,ГЕО ООО
13565985,А-Транс ООО
13579272,Катэкс  ООО
13582446,ООО `АНКОР`
13597927,ААЕ ООО
13605354,Полимер Альянс ООО
13612911,Транс ТЭК ЗАО
13618245,ООО `РЕЙЛ ТРАНС`
13618285,РГ ЗАО
13622619,"Азейское ОПТУ ОАО ""Востсибуголь""(Азей)"
13632990,ОАО 'Армавирский завод тяжелого машиностроения'
13641261,"ООО ""Балтвагонтранс"""
13651905,"Астраханский филиал ООО""Газпромтранс"""
13657842,"АО ""УРАЛЬСКАЯ СТАЛЬ"""
13659137,Регионгазлизинг ООО
13665405,УПЖТ-13 ООО
13669360,Иверия ООО
13676271,Трастконтракт ООО
13677879,Сибавтолизинг ООО
13684336,"ЗАО ""ЭНЕРГОПРОМ - НОВОСИБИРСКИЙ ЭЛЕКТРОДНЫЙ ЗАВОД"""
13693708,"ООО ""ГалоПолимер Кирово-Чепецк"""
13728172,Турборемонт-ВВК ОАО
13734353,ВТЭК ООО
13769021,"АО ""СОВФРАХТ-ПРИВОЛЖСК"""
13784003,Специализированная путевая машинная станция № 330
13793261,БЕЛСТРОЙЦЕХ ООО
13793628,"ЗАО ""БЕЛТРАНССЕРВИС"""
13799654,ЗАО 'Энергомаш (Белгород)'
13810982,"ООО ""НОКС"""
13813006,Джон Нурминен ООО
13819670,"ООО ""СВ-ТРАНСПОРТ"""
13838041,"ООО ""ПВК-Логистик"""
13858960,Транс-Альянс ООО
13873333,"ООО ""С-Трэйн"""
13874367,Легион ООО
13880391,"ООО ""ЭСТАФЕТА"""
13886689,ООО `ИМПУЛЬС`
13930077,Вышневолоцкая дистанция пути Октябрьской ж.д.
13936111,СТП Северная дирекция по ремонту пути
13955870,Межрегиональная Лизинговая Компания ООО
13983062,РТЭК-Лизинг ЗАО
13999838,ФКП 'КГКПЗ'
14003700,"ООО ""Зенит"""
14015714,Юнитекс ООО
14021359,Тенто Капитал ИнвестООО
14054100,СТПОБП СВЕРДЛОВСКАЯ ДИРЕКЦИЯ ПО РЕМОНТУ ПУТИ ЦДРП
14079985,Югорскремстройгаз ООО
14090414,Стройлин ООО
14098830,Актор Транс Восток ЗАО
14110749,Весттранс ООО
14114842,"Фл ООО ""Балтийский лизинг"""
14120127,ООО `БМ-Петролиум`
14121173,"АО ""ВЭБ-ЛИЗИНГ"""
14143306,ООО 'Трансэко'
14143884,Юкон ООО
14154505,Транс-Экспресс
14154669,Транс-Экспресс-Авто ООО
14172704,ООО 'ИТек Транс'
14173632,Москабель-Сервис ООО
14174614,ЛБЦК-Торг ООО
14175803,ООО 'ТД 'ОРЕСКО'
14178517,ТЕМПТОРГ ООО
14192150,ООО `ВЕКТОР`
14194456,ООО 'ПОЛИТЕКС'
14222046,"ООО ""ТРАНСПОРТНЫЙ АКТИВ"""
14246242,Транс-Лайн ООО
14248347,ООО 'Рентас-М'
14248583,ООО `Рент-Холдинг`
14264760,"ОРТОС ТЛГ"" ЗАО"
14264814,ООО 'АзияЮг Транзит'
14266109,Технолизинг-2003 ОАО
14267669,"АО ""ГАЗПРОМБАНК ЛИЗИНГ"""
14271300,ЛОГИТРАНС-М ООО
14274574,Меридиан ООО
14292101,Терминал Сервис ООО
14304637,БСЖВ Лизинг ООО
14317508,"ООО ""ЛЕКС"""
14326582,"ТД НКРЗ"" ООО"
14326722,Бизнес Гарант ООО
14331137,ЗАО `Завод органических продуктов`
14338323,"АО ""ПО ""БЕЖИЦКАЯ СТАЛЬ"""
14342879,ООО 'Промышленная компания 'Бежицкий стальзавод'
14351476,Центр Лизинг ООО
14361026,Туласпиртпром ОАО
14391429,ООО `Аквилон`
14462000,"ФЛ ОАО ""РУСАЛ Братск"" в г. Шелехов"
14462170,Илимхимпром ЗАО
14482244,ТРАНС ТРЕК ООО
14502797,"ООО ""БЕРЕЗОВСКИЙ ГРУЗОВОЙ ТЕРМИНАЛ"""
14506654,"ООО ""СА-ТРАНС"""
14510644,"ООО ""СЕРВИСПРОФ"""
14516641,ПромстройоборудованиеООО
14531675,"ДИРЕКЦИЯ ПО РЕМОНТУ ПУТИ ЦРП - ФИЛИАЛА ОАО ""РЖД"""
14538223,ООО 'МАШРЕСУРС'
14561127,"ООО ""БРИЗ ПЛЮС"""
14563310,ООО 'НОВАТЭК-ТРАНСЕРВИС'
14566099,ООО `АСВД`
14604227,РЖД-Лизинг ЗАО
14605296,Бизнес-План ООО
14608596,Автотек ООО
14631626,"ООО ""ТРАНССИСТЕМА"""
14644008,НК Лизинг ЗАО
14644764,ООО 'ТРАНСКОМПЛЕКС'
14645723,Центральная Железнодорожная компания ООО
14659613,ООО ПЛК 'Промлизинг'
14661188,Стройресурс ООО
14661231,Гранд Сервис ОАО
14668523,Авенир ООО
14672080,ООО 'КУБ -Стройкомплекс'
14695336,ООО `Спеццистерны`
14723085,ГУП 'НОВОАЛТАЙСКОЕ ДСУ - 7'
14773639,Трастинвест ООО
14776603,"ООО ""Стройлогистика"""
14777376,Вагон-Комплект ООО
14788090,"ОАО ""УК ""КУЗБАССРАЗРЕЗУГОЛЬ"""
14788411,НКМК ОАО
14822266,"Оренбургский филиал ООО""Газпромтранс"""
14822547,"ООО ""ОРКОМТРАНС"""
14847415,Златоустовский металлургический завод ОАО
14847510,Металлург Ресурс ООО
14848225,"ЗАО ""Южноуральский лизинговый центр"""
14852020,Челябинскавтодор ОГУП
14856006,ТК УТЕС ООО
14869894,Газпромтранс ООО
14902574,"АО ""АК БАРС ЛИЗИНГ"""
14935481,Адора Трейдинг фирма
14943277,"ООО ""ОСКОЛ-МЕТ-ТРЕЙД"""
14950981,ООО `Транскомстрой`
14951503,"ООО ""ЦИТРОБЕЛ"""
14963736,Юго-Восточная дирекция капитального ремонта и реко
14965623,Криосервис ООО
14976978,Путевая машинная станция № 303
14993855,ООО 'ГИД Экспорт'
14994866,"АО ""ДВ ТРАНСПОРТНАЯ ГРУППА"" АО ""ДВТГ"""
14996813,ПКЭП 'ФЛОРА'
