/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
483,00.00.0000,00.00.0000,Бирюлёво-ВЧДЭ,Экспл. вагонное депо Бирюлёво,Эксплуатационное вагонное депо Бирюлёво
483,31.12.9999,01.01.1000,Бирюлёво-ВЧДЭ,,
484,31.12.9999,01.01.1000,,,
485,00.00.0000,00.00.0000,Бобрик-Донской-ВЧД,Вагонное депо Бобрик-Донской,Вагонное депо Бобрик-Донской
485,31.12.9999,01.01.1000,Бобрик-Донской-ВЧД,,
487,00.00.0000,00.00.0000,Ожерелье-ВЧД,Вагонное депо Ожерелье,Вагонное депо Ожерелье
487,30.06.2012,01.01.1000,Ожерелье-ВЧД,,
487,31.12.9999,01.07.2012,Ожерелье-ВЧД,,
488,00.00.0000,00.00.0000,Валуйки-ВЧД,Вагонное депо Валуйки,Вагонное депо Валуйки
488,31.12.9999,01.01.1000,Валуйки-ВЧД,,
490,00.00.0000,00.00.0000,ВЧДЭ-22 Лихая,Экспл. вагонное депо Лихая,Эксплуатационное вагонное депо Лихая
490,31.12.9999,01.01.1000,ВЧДЭ-22Лихая,,
491,00.00.0000,00.00.0000,Грязи-ВЧД,"ОАО ""ВРП Грязи""","ОАО ""ВРП Грязи"""
491,31.12.9999,01.01.1000,Грязи-ВЧД,,
492,00.00.0000,00.00.0000,Лиски-ВЧД реф.,Вагонное pеф. депо Лиски,Вагонное pефpижеpатоpное депо Лиски
492,30.06.2012,01.01.1000,Лиски-ВЧДреф.,,
492,31.12.9999,01.07.2012,Лиски-ВЧДреф.,,
493,00.00.0000,00.00.0000,Повоpино-ВЧД,Вагонное депо Повоpино,Вагонное депо Повоpино
493,31.12.9999,01.01.1000,Повоpино-ВЧД,,
494,00.00.0000,00.00.0000,Глубокая-ВЧД,Вагонное депо Глубокая,Вагонное депо Глубокая
494,31.12.9999,01.01.1000,Глубокая-ВЧД,,
495,00.00.0000,00.00.0000,ВЧДЭ-5 Казинка,Экспл. вагонное депо Казинка,Эксплуатационное вагонное депо Казинка
495,31.12.9999,01.01.1000,ВЧДЭ-5Казинка,,
496,00.00.0000,00.00.0000,Россошь-ВЧД,Вагонное депо Россошь,Вагонное депо Россошь
496,31.12.9999,01.01.1000,Россошь-ВЧД,,
497,00.00.0000,00.00.0000,Воpонеж-ЛВЧД,Пассажиp. вагонное депо Воpонеж,Пассажиpское вагонное депо Воpонеж
497,31.12.9999,01.01.1000,Воpонеж-ЛВЧД,,
498,00.00.0000,00.00.0000,Батуpинская-ВЧД,Вагонное депо Батуpинская,Вагонное депо Батуpинская
498,31.12.9999,01.01.1000,Батуpинская-ВЧД,,
499,00.00.0000,00.00.0000,Днепpопетpовск ЛВЧД-,Пасс. вагонное депо Днепpопетpовск,Пассажирское вагонное депо Днепpопетpовск
499,31.12.9999,01.01.1000,ДнепpопетpовскЛВЧД-,,
500,00.00.0000,00.00.0000,Батуми-ВЧД,Вагонное депо Батуми,Вагонное депо Батуми
500,31.12.9999,01.01.1000,Батуми-ВЧД,,
501,00.00.0000,00.00.0000,ВЧД-3 Баладжаpы,Вагонное депо Баладжаpы,Вагонное депо Баладжаpы
501,31.12.9999,01.01.1000,ВЧД-3Баладжаpы,,
502,00.00.0000,00.00.0000,Тбилиси ЛВЧД-4,"ВРД пасс.ваг.центра ф-ла ООО ""Груз. ж.д.","Вагонорем. депо пасс.ваг.центра ф-ла ООО ""Грузинской ж.д."""
502,31.12.9999,01.01.1000,ТбилисиЛВЧД-4,,
503,00.00.0000,00.00.0000,ВЧД-6 Гянча,Вагонное депо Ганджа,Вагонное депо Ганджа
503,31.12.9999,01.01.1000,ВЧД-6Гянча,,
504,00.00.0000,00.00.0000,Гюмри ВЧД,Вагонное депо Гюмри,Вагонное депо Гюмри
504,31.12.9999,01.01.1000,ГюмриВЧД,,
505,00.00.0000,00.00.0000,Баку-ЛВЧД,Пассажирское вагонное депо Баку,Пассажирское вагонное депо Баку
505,31.12.9999,01.01.1000,Баку-ЛВЧД,,
506,00.00.0000,00.00.0000,Хашуpи-ВЧД,Вагонное депо Хашуpи,Вагонное депо Хашуpи
506,31.12.9999,01.01.1000,Хашуpи-ВЧД,,
507,00.00.0000,00.00.0000,Самтpедиа-ВЧД,Вагонное депо Самтpедиа,Вагонное депо Самтpедиа
507,31.12.9999,01.01.1000,Самтpедиа-ВЧД,,
