/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
0,00.00.0000,00.00.0000,,,
0,31.12.9999,01.01.1000,,,
1,00.00.0000,00.00.0000,,,
1,31.12.9999,01.01.1000,,,
2,00.00.0000,00.00.0000,,,
2,31.12.9999,01.01.1000,,,
3,00.00.0000,00.00.0000,Днепропетровский МРГ,Днепропетровский МРГЗ,Днепропетровский металлургический завод
3,31.12.9999,01.01.1000,Днепропетровский МРГ,Днепропетровский МРГ,Днепропетровский МРГЗ
4,31.12.9999,01.01.1000,"АО ""Вологодский ВРЗ""","АО ""Вологодский ВРЗ""","АО ""Вологодский вагоноремонтный завод"""
5,00.00.0000,00.00.0000,"ОАО ""НПК""Уралвагонза","ООО ""Научно-пр. корп. ""Уралвагонзавод""""","ООО ""Научно-производ. корпорация ""Уралвагонзавод"""""
5,31.12.9999,01.01.1000,"АО ""НПК""Уралвагонзав","АО ""НПК""Уралвагонзав","АО ""НПК""Уралвагонзавод"""""
6,00.00.0000,00.00.0000,"Московский завод ""Тp","Московский завод ""Тpансмаш""","Московский завод ""Тpансмаш"""
6,31.12.9999,01.01.1000,ОАО МТЗ ТРАНСМАШ,ОАО МТЗ ТРАНСМАШ,ОАО МТЗ ТРАНСМАШ
7,00.00.0000,00.00.0000,Изюмский ТРЗ,Изюмский ТРЗ,Изюмский тепловозоремонтный завод
7,31.12.9999,01.01.1000,"ООО ""ВП ИТРЗ""","ООО ""ВП ИТРЗ""","ООО ""ВП ИТРЗ"""
8,00.00.0000,00.00.0000,Нижне-Тагильский МРГ,Нижне-Тагильский МРГК,Нижне-Тагильский металлургический комбинат
8,31.12.9999,01.01.1000,"ОАО ""ЕВРАЗ НТМК""","ОАО ""ЕВРАЗ НТМК""","ОАО ""ЕВРАЗ НТМК"""
9,00.00.0000,00.00.0000,Брянский МСЗ,Брянский МСЗ,Брянский машиностpоительный завод
9,31.12.9999,01.01.1000,"АО ""УК ""БМЗ""","АО ""УК ""БМЗ""","АО ""УК ""БМЗ"""
10,00.00.0000,00.00.0000,Алатырский МЗ,Алатырский МЗ,Алатырский механический завод
10,31.12.9999,01.01.1000,Алатырский МЗ,Алатырский МЗ,Алатырский механический завод
11,00.00.0000,00.00.0000,Красноярский ЭВРЗ,Красноярский ЭВРЗ,Красноярский электровагоноремонтный завод
11,31.12.9999,01.01.1000,"ОАО ""КрЭВРЗ""","ОАО ""КрЭВРЗ""","ОАО ""КрЭВРЗ"""
12,00.00.0000,00.00.0000,"ПК ""Бежицкий ст.заво","ООО ПК ""Бежицкий сталелитейный завод""","ООО Промышленная компания ""Бежицкий сталелитейный завод"""
12,31.12.9999,01.01.1000,"ОАО ""ПО ""Бежицкая ст","ОАО ""ПО ""Бежицкая ст","ОАО ""ПО ""Бежицкая сталь"""
13,00.00.0000,00.00.0000,"Завод ""Серп и молот""","Харьковский завод ""Серп и молот""","Харьковский завод ""Серп и молот"""
13,31.12.9999,01.01.1000,"Харьковский завод ""С","Харьковский завод ""С","Харьковский завод ""Серп и молот"""
14,00.00.0000,00.00.0000,"ОАО ""Кременчугский с",ОАО Кременчугский сталелитейный з-д,"Открытое акционерное общество ""Кременчугский сталелитейный з"
14,31.12.9999,01.01.1000,"ОАО ""Кременчугский с","ОАО ""Кременчугский с","Открытое акционерное общество ""Кременчугский сталелитейный з"
15,00.00.0000,00.00.0000,Демиховский МСЗ,Демиховский МСЗ,Демиховский машиностроительный завод
15,31.12.9999,01.01.1000,"ОАО ""ДМЗ""","ОАО ""ДМЗ""","ОАО ""ДМЗ"""
16,00.00.0000,00.00.0000,Пермский МРЗ,Пермский МРЗ,Пермский мотовозоремонтный завод
16,31.12.9999,01.01.1000,ПермскийМРЗ,,
17,00.00.0000,00.00.0000,Полтавский ТРЗ,Полтавский ТРЗ,Полтавский тепловозоремонтный завод
17,31.12.9999,01.01.1000,ПолтавскийТРЗ,,
18,00.00.0000,00.00.0000,Выксунский МРГЗ,Выксунский МРГЗ,Выксунский металлургический завод
18,31.12.9999,01.01.1000,ВыксунскийМРГЗ,,
19,00.00.0000,00.00.0000,Ростовский ЭЛРЗ,Ростовский ЭЛРЗ,Ростовский электроремонтный завод
19,31.12.9999,01.01.1000,РостовскийЭЛРЗ,,
20,00.00.0000,00.00.0000,"ОАО ""Нижнеднепровски",ОАО Нижнеднепровский трубопрокат.з-д,"Открытое акционерное общество ""Нижнеднепровский трубопрокатн"
20,31.12.9999,01.01.1000,"ОАО""Нижнеднепровски",,
21,00.00.0000,00.00.0000,Тбилисский ЭВРЗ,Тбилисский ЭВРЗ,Тбилисский электровагоноремонтный завод
21,31.12.9999,01.01.1000,ТбилисскийЭВРЗ,,
22,00.00.0000,00.00.0000,Алтайский ВСЗ,Алтайский ВСЗ,Алтайский вагоностроительный завод
22,31.12.9999,01.01.1000,АлтайскийВСЗ,АлтайскийВСЗ,
23,00.00.0000,00.00.0000,"ОАО ХК ""Лугансктепло","ОАО ХК ""Лугансктепловоз""","Открытое акционерное общество Холдинговая компания ""Лугансте"
23,31.12.9999,01.01.1000,"ОАОХК""Лугансктепло",,
24,00.00.0000,00.00.0000,Завод им. Лепсе,Завод им.Лепсе,Завод им.Лепсе г.Санкт - Петербург
24,31.12.9999,01.01.1000,Заводим.Лепсе,,
25,00.00.0000,00.00.0000,ВРД Чита,Вагоноремонтное депо Чита,Вагоноремонтное депо Чита
25,31.12.9999,01.01.1000,ВРДЧита,,
26,00.00.0000,00.00.0000,Ярославский ЭЛРЗ,Ярославский ЭЛРЗ,Ярославский электровозоремонтный завод
26,31.12.9999,01.01.1000,ЯрославскийЭЛРЗ,,
27,00.00.0000,00.00.0000,"ОАО ""КВСЗ""","ОАО ""Крюковский ВСЗ""","Открытое акционерное общество ""Крюковский вагоностроительный"
27,31.12.9999,01.01.1000,"ОАО""КВСЗ""",,
28,00.00.0000,00.00.0000,Иркутский з-д Тяжмаш,"Иркутский завод ""Тяжмаш""","Иркутский завод ""Тяжмаш"""
28,31.12.9999,01.01.1000,Иркутскийз-дТяжмаш,,
29,00.00.0000,00.00.0000,Днепровский МРГЗ,Днепровский металлургический завод,Днепровский металлургический завод им.Дзержинского
29,31.12.9999,01.01.1000,ДнепровскийМРГЗ,,
30,00.00.0000,00.00.0000,"ОАО ""Подъёмтрансмаш""","ОАО ""Подъёмтрансмаш""","Открытое акционерное общество ""Подъёмтрансмаш"""
30,31.12.9999,01.01.1000,"ОАО""Подъёмтрансмаш""",,
31,00.00.0000,00.00.0000,Гомельский ВРЗ,Гомельский ВРЗ,ПРУП «Гомельский вагоноремонтный завод им. М.И.Калинина»
31,31.12.9999,01.01.1000,ГомельскийВРЗ,,
32,00.00.0000,00.00.0000,Сердар ВРЗ,Вагоноремонтный завод Сердар,Вагоноремонтный завод Сердар
32,31.12.9999,01.01.1000,СердарВРЗ,,
33,00.00.0000,00.00.0000,"ООО ""Промтрактор-Про","ООО ""Промтрактор-Промлит""","Общество ограниченной ответственности ""Промтрактор-Промлит"""
33,31.12.9999,01.01.1000,"ООО""Промтрактор-Про",,
34,00.00.0000,00.00.0000,Мичуринский ТРЗ,Мичуринский ТРЗ,Мичуринский локомотиворемонтный завод
34,31.12.9999,01.01.1000,МичуринскийТРЗ,,
35,00.00.0000,00.00.0000,"ОАО ""Чебоксарский аг","ОАО ""Чебоксарский агрегатный завод""","Открытое акционерное общество ""Чебоксарский агрегатный завод"
35,31.12.9999,01.01.1000,"ОАО""Чебоксарскийаг",,
36,00.00.0000,00.00.0000,Днепропетровский ТРЗ,Днепропетровский ТРЗ,Днепропетровский тепловозоремонтный завод
36,31.12.9999,01.01.1000,ДнепропетровскийТРЗ,,
37,00.00.0000,00.00.0000,Коломенский ТРЗ,Коломенский ТРЗ,Коломенский тепловозоремонтный завод
37,31.12.9999,01.01.1000,КоломенскийТРЗ,,
38,00.00.0000,00.00.0000,Кировский МСЗ,Кировский МСЗ,Кировский машиностроительный завод
38,31.12.9999,01.01.1000,КировскийМСЗ,,
39,00.00.0000,00.00.0000,Люблинский ЛМЗ,Люблинский ЛМЗ,Люблинский литейно-механический завод
39,31.12.9999,01.01.1000,ЛюблинскийЛМЗ,,
40,00.00.0000,00.00.0000,Кулебакский МРГЗ,Кулебакский МРГЗ,Кулебакский металлургический завод
40,31.12.9999,01.01.1000,КулебакскийМРГЗ,,
42,00.00.0000,00.00.0000,Уссурийский ТРЗ,Уссурийский ТРЗ,Уссурийский тепловозоремонтный завод
42,31.12.9999,01.01.1000,УссурийскийТРЗ,,
44,00.00.0000,00.00.0000,Оренбургский ТРЗ,Оренбургский ТРЗ,Оренбургский тепловозоремонтный завод
44,31.12.9999,01.01.1000,ОренбургскийТРЗ,,
45,00.00.0000,00.00.0000,ТашТВРЗ,Ташкентский ТВРЗ,"Ташкенский тепловозоремонтный завод УП ""Узжелдорреммаш"" ГАЖК"
45,31.12.9999,01.01.1000,ТашТВРЗ,,
47,00.00.0000,00.00.0000,Тихорецкий МСЗ,Тихорецкий МСЗ,Тихорецкий машиностроительный завод
47,31.12.9999,01.01.1000,ТихорецкийМСЗ,,
49,00.00.0000,00.00.0000,Одесский МЗ,Одесский механический завод,Одесский механический завод
49,31.12.9999,01.01.1000,ОдесскийМЗ,,
52,00.00.0000,00.00.0000,"ПО ""Метровагонмаш""","ПО ""Метровагонмаш"" Мытищи","Мытищенское производственное объединение ""Метровагонмаш"""
52,31.12.9999,01.01.1000,"ПО""Метровагонмаш""",,
53,00.00.0000,00.00.0000,Запорожский ЭВРЗ,Запорожский ЭВРЗ,Запорожский электровозоремонтный завод
53,31.12.9999,01.01.1000,ЗапорожскийЭВРЗ,,
54,00.00.0000,00.00.0000,Астраханский ТРЗ,Астраханский ТРЗ,Астраханский тепловозоремонтный завод
54,31.12.9999,01.01.1000,АстраханскийТРЗ,,
55,00.00.0000,00.00.0000,Великолукский ЛРЗ,Великолукский ЛРЗ,Великолукский локомотиворемонтный завод
55,31.12.9999,01.01.1000,ВеликолукскийЛВРЗ,,
56,00.00.0000,00.00.0000,Невский завод им.Лен,Невский завод им.Ленина,Невский завод им.Ленина
56,31.12.9999,01.01.1000,Невскийзаводим.Лен,,
57,00.00.0000,00.00.0000,Уфимский ТРЗ,Уфимский ТРЗ,Уфимский тепловозоремонтный завод
57,31.12.9999,01.01.1000,УфимскийТРЗ,,
58,31.12.9999,01.01.1000,,,
59,31.12.9999,01.01.1000,,,
60,00.00.0000,00.00.0000,Улан-Удэнский ЛРЗ,Улан-Удэнский ЛРЗ,Улан-Удэнский локомотиворемонтный завод
60,31.12.9999,01.01.1000,Улан-УдэнскийЛРЗ,,
61,00.00.0000,00.00.0000,Рижский ВСЗ,Рижский ВСЗ,"Акционерное общество ""Ригас вагонбувес рупница"" г.Рига"
61,31.12.9999,01.01.1000,РижскийВСЗ,,
62,00.00.0000,00.00.0000,"ОАО ""Стахановский ВС","ОАО ""Стахановский ВСЗ""","ОАО ""Стахановский вагоностроительный завод"""
62,31.12.9999,01.01.1000,"ОАО""СтахановскийВС",,
63,00.00.0000,00.00.0000,Торжокский ВСЗ,Торжокский ВСЗ,Торжокский вагоностроительный завод
63,31.12.9999,01.01.1000,ТоржокскийВСЗ,,
64,00.00.0000,00.00.0000,"Московский з-д""Калиб","Московский завод""Калибр""","Московский завод ""Калибр"""
64,31.12.9999,01.01.1000,"Московскийз-д""Калиб",,
65,00.00.0000,00.00.0000,Смелянский ЭМЗ,Смелянский ЭМЗ,Смелянский электромеханический завод
65,31.12.9999,01.01.1000,СмелянскийЭМЗ,,
66,00.00.0000,00.00.0000,"МРГЗ ""Азовсталь""","МРГЗ ""Азовсталь""","Мариупольский металлургический завод ""Азовсталь"""
66,31.12.9999,01.01.1000,"МРГЗ""Азовсталь""",,
67,31.12.9999,01.01.1000,,,
68,00.00.0000,00.00.0000,Барнаульский ВРЗ,Барнаульский ВРЗ,"ОАО ""Барнаульский вагоноремонтный завод"
68,31.12.9999,01.01.1000,БарнаульскийВРЗ,,
69,00.00.0000,00.00.0000,Октябрьский ЭЛРЗ,Октябрьский ЭЛРЗ,Октябрьский электровагоноремонтный завод
69,31.12.9999,01.01.1000,ОктябрьскийЭЛРЗ,,
72,00.00.0000,00.00.0000,Пермь-Сортировочная,Пермь-Сортировочная ВКМ,Вагоноколесные мастерские Пермь-Сортировочная
72,31.12.9999,01.01.1000,Пермь-Сортировочная,,
74,00.00.0000,00.00.0000,"ОАО ""Кировский завод","ОАО ""Кировский завод""","Открытое акционерное общество ""Кировский завод"""
74,31.12.9999,01.01.1000,"ОАО""Кировскийзавод",,
75,00.00.0000,00.00.0000,Тамбовский ВРЗ,Тамбовский ВРЗ,Тамбовский вагоноремонтный завод
75,31.12.9999,01.01.1000,ТамбовскийВРЗ,,
76,00.00.0000,00.00.0000,Воронежский ВРЗ,Воронежский ВРЗ,Воронежский вагоноремонтный завод
76,31.12.9999,01.01.1000,ВоронежскийВРЗ,,
77,00.00.0000,00.00.0000,Калужский МСЗ,Калужский МСЗ,Калужский машиностроительный завод
77,31.12.9999,01.01.1000,КалужскийМСЗ,,
78,00.00.0000,00.00.0000,Верещагинский ПРМЗ,Верещагинский ПРМЗ,Верещагинский путевой ремонтно-механический завод
78,31.12.9999,01.01.1000,ВерещагинскийПРМЗ,,
79,00.00.0000,00.00.0000,Абдулинский ПРМЗ,Абдулинский ПРМЗ,Абдулинский путевой ремонтно-механический завод
79,31.12.9999,01.01.1000,АбдулинскийПРМЗ,,
80,31.12.9999,01.01.1000,,,
82,00.00.0000,00.00.0000,"Завод ""Ленинская куз","Завод ""Ленинская кузница""","Киевский завод ""Ленинская кузница"""
82,31.12.9999,01.01.1000,"Завод""Ленинскаякуз",,
83,00.00.0000,00.00.0000,"ОАО ""Днепрвагонремст","ОАО ""Днепрвагонремстрой""","Открытое акционерное общество ""Днепрвагонремстрой"""
83,31.12.9999,01.01.1000,"ОАО""Днепрвагонремст",,
84,00.00.0000,00.00.0000,Рославльский ВРЗ,Рославльский ВРЗ,Рославльский вагоноремонтный завод
84,31.12.9999,01.01.1000,РославльскийВРЗ,,
85,00.00.0000,00.00.0000,Бакинский ВРЗ,Бакинский ВРЗ,Бакинский вагоноремонтный завод
85,31.12.9999,01.01.1000,БакинскийВРЗ,,
86,00.00.0000,00.00.0000,"Завод ""Красное Сормо","Завод ""Красное Сормово""","Завод ""Красное Сормово"""
86,31.12.9999,01.01.1000,"Завод""КрасноеСормо",,
87,00.00.0000,00.00.0000,Нижегородский МСЗ,Нижегородский МСЗ,Нижегородский машиностроительный завод
87,31.12.9999,01.01.1000,НижегородскийМСЗ,,
88,31.12.9999,01.01.1000,,,
89,00.00.0000,00.00.0000,"ПО ""Ленвагонмаш""","ПО ""Ленвагонмаш""","Ленинградское производственное объединение ""Ленвагонмаш"""
89,31.12.9999,01.01.1000,"ПО""Ленвагонмаш""",,
90,00.00.0000,00.00.0000,"ГП ""Дарницкий ВРЗ""","ГП ""Дарницкий ВРЗ""","Государственное предприятие ""Дарницкий вагоноремонтный завод"
90,31.12.9999,01.01.1000,"ГП""ДарницкийВРЗ""",,
91,00.00.0000,00.00.0000,"ЗАО ""Харьковский ВСЗ","ЗАО ""Харьковский ВСЗ""","ЗАО ""Харьковский вагоностроительны"
91,31.12.9999,01.01.1000,"ЗАО""ХарьковскийВСЗ",,
92,00.00.0000,00.00.0000,Таганрогский МРГЗ,Таганрогский МРГЗ,Таганрогский металлургический завод
92,31.12.9999,01.01.1000,ТаганрогскийМРГЗ,,
93,00.00.0000,00.00.0000,Тверской ВСЗ,Тверской ВСЗ,Тверской вагоностроительный завод
93,31.12.9999,01.01.1000,ТверскойВСЗ,,
94,00.00.0000,00.00.0000,Калужский турбинный,Калужский турбинный завод,Калужский турбинный завод
94,31.12.9999,01.01.1000,Калужскийтурбинный,,
97,00.00.0000,00.00.0000,Завод им.Малышева,Завод им.Малышева,Харьковский завод им.Малышева
97,31.12.9999,01.01.1000,Заводим.Малышева,,
98,00.00.0000,00.00.0000,"АО ""Экспресс"" г.Жмер","АО ""Экспресс"" г.Жмеринка","Акционерное общество ""Экспресс"" г.Жмеринка"
98,31.12.9999,01.01.1000,"АО""Экспресс""г.Жмер",,
99,00.00.0000,00.00.0000,Московский ВРЗ,Московский ВРЗ,Московский вагоноремонтный завод
99,31.12.9999,01.01.1000,МосковскийВРЗ,,
102,00.00.0000,00.00.0000,Московский ЛРЗ,Московский ЛРЗ,Московский локомотиворемонтный завод
102,31.12.9999,01.01.1000,МосковскийЛРЗ,,
103,00.00.0000,00.00.0000,Кузнецкий МРГК,Кузнецкий МРГК,Кузнецкий металлургический комбинат
103,31.12.9999,01.01.1000,КузнецкийМРГК,,
104,00.00.0000,00.00.0000,"ГП ""Попаснянский ВРЗ","ГП ""Попаснянский ВРЗ""","Государственное предприятие ""Попаснянский вагоноремонтный за"
104,31.12.9999,01.01.1000,"ГП""ПопаснянскийВРЗ",,
105,00.00.0000,00.00.0000,Новороссийский ВРЗ,Новороссийский ВРЗ ф-л Вагонреммаш,ОАО Вагонреммаш филиал Новороссийский вагоноремонтный завод
105,31.12.9999,01.01.1000,НовороссийскийВРЗ,,
108,00.00.0000,00.00.0000,ЗАО «Промтрактор-Ваг,ЗАО «Промтрактор-Вагон»,Закрытое акционерное общество «Промтрактор-Вагон»
108,31.12.9999,01.01.1000,ПромтракторВагнКанаш,,
109,31.12.9999,01.01.1000,,,
110,00.00.0000,00.00.0000,"ПУП ""Минский ВРЗ""","ПУП ""Минский ВРЗ""","ПУП ""Минский вагоноремонтный завод им. А.Ф. Мясникова"" Белор"
110,31.12.9999,01.01.1000,"ПУП""МинскийВРЗ""",,
112,00.00.0000,00.00.0000,Ярославский ВРЗ,Ярославский ВРЗ,Открытое акционерное общ. Ярославский вагоноремонтный завод
112,31.12.9999,01.01.1000,ЯрославскийВРЗ,,
114,00.00.0000,00.00.0000,ВКМ Похвистнево,Похвистнево ВКМ,Вагоноколесные мастерские Похвистнево
114,30.09.2011,01.01.1000,ВКМПохвистнево,,
114,31.12.9999,01.10.2011,ВКМПохвистнево,,
115,00.00.0000,00.00.0000,ГП Центр экспл спец,"ГП""Центр эксплуатации спец.вагонов""","ГП ""Украинский Государственный центр по эксплуатации спец.ва"
115,31.12.9999,01.01.1000,ГПЦентрэксплспец,,
116,00.00.0000,00.00.0000,Владикавказский ВРЗ,Владикавказский ВРЗ,Владикавказский вагоноремонтный завод
116,31.12.9999,01.01.1000,ВладикавказскийВРЗ,,
117,00.00.0000,00.00.0000,Свободненский ВРЗ,Свободненский вагоноремонтный завод,"Свободненский вагоноремонтный завод - филиал ООО""ТВМ"""
117,31.12.9999,01.01.1000,СвободненскийВРЗ,,
118,00.00.0000,00.00.0000,"ОАО ""Киевский ЭВРЗ""","ОАО ""Киевский ЭВРЗ""","Открытое акционерное общество ""Киевский электровагоноремонтн"
118,31.12.9999,01.01.1000,"ОАО""КиевскийЭВРЗ""",,
119,00.00.0000,00.00.0000,Воронежский ТРЗ,Воронежский ТРЗ,Воронежский тепловозоремонтный завод
119,31.12.9999,01.01.1000,ВоронежскийТРЗ,,
120,00.00.0000,00.00.0000,Конотоп завод по рем,Конотопский з-д по ремонту дизель-поездо,Конотопский завод по ремонту дизель поездов
120,31.12.9999,01.01.1000,Конотопзаводпорем,,
121,00.00.0000,00.00.0000,Гайворонский ТРЗ,Гайворонский ТРЗ,Гайворонский тепловозоремонтный завод
121,31.12.9999,01.01.1000,ГайворонскийТРЗ,,
122,00.00.0000,00.00.0000,Львовский ЛРЗ,Львовский ЛРЗ,Львовский локомотиворемонтный завод
122,31.12.9999,01.01.1000,ЛьвовскийЛРЗ,,
124,00.00.0000,00.00.0000,ГП Стрыйский ВРЗ,"ГП ""Стрыйский ВРЗ""","Государственное предприятие ""Стрыйский вагоноремонтный завод"
124,31.12.9999,01.01.1000,ГПСтрыйскийВРЗ,,
126,00.00.0000,00.00.0000,Ивано-Франковский ЛР,Ивано-Франковский ЛРЗ,Ивано-Франковский локомотиворемонтный завод
126,31.12.9999,01.01.1000,Ивано-ФранковскийЛР,,
127,00.00.0000,00.00.0000,"ППО ""ДЭВЗ""","ППО ""ДЭВЗ""","Днепровское НПО электровозостроения ППО ""ДЭВС"""
127,31.12.9999,01.01.1000,"ППО""ДЭВЗ""",,
128,00.00.0000,00.00.0000,Кушвинский ТРЗ,Кушвинский ТРЗ,Кушвинский тепловозоремонтный завод Минчермет
128,31.12.9999,01.01.1000,КушвинскийТРЗ,,
129,16.10.2016,01.01.1000,"ВРД ""Желдорсервис""","ВРД ""Желдорсервис"" ООО ""СГК""","ВРД ""Желдорсервис"" ООО ""СГК"""
129,31.12.9999,17.10.2016,ДепоВолгоградНВК,ДепоВолгоградНВК,ДепоВолгоградНВК
132,00.00.0000,00.00.0000,АО «Ырысты-АЭВРЗ»,АО «Ырысты-АЭВРЗ»,Акционерное общество «Ырысты-АЭВРЗ» Алматы
132,31.12.9999,01.01.1000,АО«Ырысты-АЭВРЗ»,,
133,00.00.0000,00.00.0000,ОАО Днепровагонмаш,"ОАО ""Днепровагонмаш""","Открытое акционерное общество ""Днепровагонмаш"""
133,31.12.9999,01.01.1000,ОАОДнепровагонмаш,,
134,00.00.0000,00.00.0000,Калининградский ВСЗ,Калининградский ВСЗ,Калининградский вагоностроительный завод
134,31.12.9999,01.01.1000,КалининградскийВСЗ,,
135,00.00.0000,00.00.0000,Боготольский ВРЗ,Боготольский ВРЗ,Боготольский вагоноремонтный завод
135,31.12.9999,01.01.1000,БоготольскийВРЗ,,
136,00.00.0000,00.00.0000,Анжерский ВРЗ,Анжерский ВРЗ,Анжерский вагоноремонтный завод
136,31.12.9999,01.01.1000,АнжерскийВРЗ,,
139,31.12.9999,01.01.1000,,,
140,31.12.9999,01.01.1000,,,
142,31.12.9999,01.01.1000,,,
143,00.00.0000,00.00.0000,"ОАО ""МЗТМ""",ОАО «МЗТМ»,"ОАО «Мариупольский завод тяжёлого машиностроения"""
143,31.12.9999,01.01.1000,"ОАО""МЗТМ""",,
144,00.00.0000,00.00.0000,"ОАО ""Саранский ВРЗ""","ОАО ""Саранский ВРЗ""",Открытое акционерное общество Саранский вагоноремонтный заво
144,31.12.9999,01.01.1000,"ОАО""СаранскийВРЗ""",,
146,00.00.0000,00.00.0000,Подольский МЗ,Подольский механический завод,Подольский механический завод
146,31.12.9999,01.01.1000,ПодольскийМЗ,,
149,00.00.0000,00.00.0000,"Первомайский з-д ""Тр","Первомайский завод ""Трансмаш""","Первомайский завод ""Трансмаш"""
149,31.12.9999,01.01.1000,"Первомайскийз-д""Тр",,
151,00.00.0000,00.00.0000,Новосибирский РМЗ,Новосибирский РМЗ,Новосибирский ремонтно-механический завод
151,31.12.9999,01.01.1000,НовосибирскийРМЗ,,
152,00.00.0000,00.00.0000,* Лубненские мастерс,* Лубненские мастерские,* Лубненские мастерские
152,31.12.9999,01.01.1000,*Лубненскиемастерс,,
154,00.00.0000,00.00.0000,Ташкентский РМЗ,Ташкентский РМЗ,Ташкентский ремонтно-механический завод
154,31.12.9999,01.01.1000,ТашкентскийРМЗ,,
156,00.00.0000,00.00.0000,Пушкинский ПРМЗ,Пушкинский ПРМЗ,"Открытое акционерное общество ""Пушкинский путевой ремонтно-м"
156,31.12.9999,01.01.1000,ПушкинскийПРМЗ,,
158,00.00.0000,00.00.0000,Людиновский ТСЗ,Людиновский ТСЗ,Людиновский тепловозостроительный завод
158,31.12.9999,01.01.1000,ЛюдиновскийТСЗ,,
159,00.00.0000,00.00.0000,Петровский ЛРЗ,Петровский ЛРЗ,Петровский локомотиворемонтный завод г.Донецк (Минуглепром)
159,31.12.9999,01.01.1000,ПетровскийЛРЗ,,
160,00.00.0000,00.00.0000,МЭМРЗ,МЭМРЗ,Московский электромеханический ремонтный завод
160,31.12.9999,01.01.1000,МЭМРЗ,,
163,00.00.0000,00.00.0000,Уссурийск ВЧД реф.,Уссурийск ВЧД реф.,Вагонное рефрижераторное депо Уссурийск
163,31.12.9999,01.01.1000,УссурийскВЧДреф.,,
165,00.00.0000,00.00.0000,Грязе-Орловский МРЗ,Грязе-Орловский МРЗ,Грязе-Орловский мотовозоремонтный завод
165,31.12.9999,01.01.1000,Грязе-ОрловскийМРЗ,,
167,00.00.0000,00.00.0000,ОМ Киевского метро,ОМ Киевского метро,Обьединённые мастерские Киевского метропролитена
167,31.12.9999,01.01.1000,ОМКиевскогометро,,
168,00.00.0000,00.00.0000,Лиски-ТЧ,Лиски-ТЧ,Локомотивное депо Лиски
168,31.12.9999,01.01.1000,Лиски-ТЧ,,
174,00.00.0000,00.00.0000,"ООО ""ВСК""","ООО ""Вагоностроительная компания""","Общество ограниченной ответственности ""Вагоностроительная ко"
174,31.12.9999,01.01.1000,"ООО""ВСК""",,
175,31.12.9999,01.01.1000,,,
178,00.00.0000,00.00.0000,Криворожский ЛРЗ,Криворожский ЛРЗ,Криворожский локомотиворемонтный завод
178,31.12.9999,01.01.1000,КриворожскийЛРЗ,,
179,00.00.0000,00.00.0000,"ПО ""Абаканвагонмаш""","ПО ""Абаканвагонмаш""","Абаканское производственное объединение ""Абаканвагонмаш"""
179,31.12.9999,01.01.1000,"ПО""Абаканвагонмаш""",,
180,00.00.0000,00.00.0000,"ЗАО ""Желгорский ВРЗ""","ЗАО "" Железногорский ВРЗ""","ЗАО ""Железногорский вагоноремонтный завод"""
180,31.12.9999,01.01.1000,ЖелезногорскийВРЗ,,
186,00.00.0000,00.00.0000,"АО ""Даугавпилсский Л","АО ""Даугавпилсский ЛРЗ""","Акционерное общество ""Даугавпилсский локомотиворемонтный зав"
186,31.12.9999,01.01.1000,"АО""ДаугавпилсскийЛ",,
189,00.00.0000,00.00.0000,Унеча ТЧ,Унеча ТЧ,Локомотивное депо Унеча
189,31.12.9999,01.01.1000,УнечаТЧ,,
190,00.00.0000,00.00.0000,Инская ТЧ,Инская ТЧ,Локомотивное депо Инская
190,31.12.9999,01.01.1000,ИнскаяТЧ,,
192,00.00.0000,00.00.0000,Троицк ТЧ,Троицк ТЧ,Локомотивное депо Троицк
192,31.12.9999,01.01.1000,ТроицкТЧ,,
194,00.00.0000,00.00.0000,Астанинское ЛРД,Астанинское ЛРД,"Астанинское локомотиворемонтное депо-филиал ""Камкор Локомоти"
194,31.12.9999,01.01.1000,АстанинскоеЛРД,,
195,00.00.0000,00.00.0000,Таразское ЛРД,Таразское ЛРД,"Таразское локомотиворемонтное депо-филиал ТОО ""Камкор Локомо"
195,31.12.9999,01.01.1000,ТаразскоеЛРД,,
200,00.00.0000,00.00.0000,Южно-Сахалинск. ТВРЗ,Южно-Сахалинский ТВРЗ,Южно-Сахалинский тепловозоремонтный завод
200,31.12.9999,01.01.1000,Южно-Сахалинск депо,,Южно-Сахалинск депо
201,00.00.0000,00.00.0000,Омск ТЧ,Омск ТЧ,Локомотивное депо Омск
201,31.12.9999,01.01.1000,ОмскТЧ,,
205,00.00.0000,00.00.0000,Екатеринбург ПРЗ,Екатеринбург ПРЗ,Екатеринбургский путевой ремонтный завод
205,31.12.9999,01.01.1000,ЕкатеринбургПРЗ,,
209,00.00.0000,00.00.0000,Новосибирский ЭЛРЗ,Новосибирский ЭЛРЗ,Новосибирский электровозоремонтный завод
209,31.12.9999,01.01.1000,НовосибирскийЭЛРЗ,,
210,00.00.0000,00.00.0000,Свердловский ЭЛРЗ,Свердловский ЭЛРЗ,Свердловский электровозоремонтный завод
210,31.12.9999,01.01.1000,СвердловскийЭЛРЗ,,
212,00.00.0000,00.00.0000,Магдагачи-ТЧ,Магдагачи-ТЧ,Локомотивное депо Магдагачи
212,31.12.9999,01.01.1000,Магдагачи-ТЧ,,
213,00.00.0000,00.00.0000,Вяземская-ТЧ,Вяземская-ТЧ,Локомотивное депо Вяземская
