/BIC/ZVCH_STAT,TXTSH,TXTMD,TXTLG
1276,,ОП 38 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 38 КМ
1277,,ОП 27 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 27 КМ
1278,,ОП 14 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 14 КМ
1279,,ОП 9 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 9 КМ
1280,МД.Г-П,МЕДВ.ГОР-ПЕР,МЕДВЕЖЬЯ ГОРА-ПЕРЕВАЛКА
1299,,БЕЛОМОРСК-НЕЧ,БЕЛОМОРСК-НЕЧ
1300,БЕЛМОР,БЕЛОМОРСК,БЕЛОМОРСК
1301,ЗАЛИВЫ,ЗАЛИВЫ,ЗАЛИВЫ
1311,МЯГРЕК,МЯГРЕКА,МЯГРЕКА
1312,ШУЕРЕЦ,ШУЕРЕЦКАЯ,ШУЕРЕЦКАЯ
1313,,БП 813 КМ,БЛОКПОСТ 813 КМ
1314,,БП 791 КМ,БЛОКПОСТ 791 КМ
1315,,ОП 818 КМ,ОСТ. ПУНКТ 818
1316,,БЕЛОМОРСК-ВЫГ,БЕЛОМОРСК-ВЫГ
1317,,БЕЛОМ-БП 791 КМ,БЕЛОМ-БП 791 КМ
1318,,БЕЛОМ-Г-МОСТ,БЕЛОМ-Г МОСТ
1320,КЕМЬ,КЕМЬ,КЕМЬ
1321,Р846КМ,РЗД 846 КМ,РАЗ'ЕЗД 846 КМ
1322,ЛАМБИН,ЛАМБИНО,ЛАМБИНО
1323,ПОНЬГМ,ПОНЬГОМА,ПОНЬГОМА
1324,Р883КМ,РЗД 883 КМ,РАЗ'ЕЗД 883 КМ
1325,КЕМЬ-П,КЕМЬ-ПРИСТ,КЕМЬ-ПРИСТАНЬ
1326,,ОП 863 КМ,ОСТ. ПУНКТ 863 КМ
1330,БЕЛМ-П,БЕЛОМОРСК-П,БЕЛОМОРСК-ПЕРЕВАЛКА
1350,КУЗЕМА,КУЗЕМА,КУЗЕМА
1351,ВОНЬГА,ВОНЬГА,ВОНЬГА
1352,СИГ,СИГ,СИГ
1353,,ОП 908 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 908 КМ
1354,,ОП 912 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 912 КМ
1355,,ОП 923 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 923 КМ
1356,,УНДУСА,УНДУСА
1357,,ОП 935 КМ,ОСТАНОВОЧНЫЙ ПУНКТ  935 КМ
1358,,ОП 942 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 942 КМ
1360,ЭНГОЗР,ЭНГОЗЕРО,ЭНГОЗЕРО
1361,,ОП 957 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 957 КМ
1370,АМБАРН,АМБАРНЫЙ,АМБАРНЫЙ
1371,БОЯРСК,БОЯРСКАЯ,БОЯРСКАЯ
1372,,ОП 981 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 981 КМ
1373,,ОП 976 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 976 КМ
1374,,ОП 988 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 988 КМ
1375,,ОП 993 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 993 КМ
1380,ЛОУХИ,ЛОУХИ,ЛОУХИ
1381,,ЛОУХИ-ПЕРЕД,ЛОУХИ-ПЕРЕДАТОЧНАЯ
1382,КЕРЕТЬ,КЕРЕТЬ,КЕРЕТЬ
1384,,ОП 1008 КМ,ОСТ. ПУНКТ 1008 КМ
1385,,ЛОУХИ-САИПС,ЛОУХИ САИПС
1390,ЕЛОВАЯ,ЕЛОВАЯ,ЕЛОВАЯ
1400,КЕСТЕН,КЕСТЕНЬГА,КЕСТЕНЬГА
1410,ПЯОЗЕР,ПЯОЗЕРО,ПЯОЗЕРО
1421,,ГАНГОС,ГАНГОС
1422,,ОП 1118 КМ,ОСТ. ПУНКТ 1118 КМ
1423,,ОП 1168 КМ,ОСТ. ПУНКТ 1168 КМ
1430,ЧУПА,ЧУПА,ЧУПА
1431,КАТОЗР,КАТОЗЕРО,КАТОЗЕРО
1432,,ОП 1068 КМ,ОСТ. ПУНКТ 1068 КМ
1433,ПОЛ.КР,ПОЛЯРН.КРУГ,ПОЛЯРНЫЙ КРУГ
1434,,БП 1093 КМ,БЛОКПОСТ 1093 КМ
1435,ПОЯКОН,ПОЯКОНДА,ПОЯКОНДА
1436,ЛЕСНОЙ,ЛЕСНОЙ,ЛЕСНОЙ
1437,КОВДА,КОВДА,КОВДА
1438,,КАРЕЛЬСКИЙ,КАРЕЛЬСКИЙ
1439,,УЗКИЙ,УЗКИЙ
1440,КНЯЖАЯ,КНЯЖАЯ,КНЯЖАЯ
1441,,ОП 1071 КМ,ОСТ. ПУНКТ 1071 КМ
1442,,ОП 1075 КМ,ОСТ. ПУНКТ 1075 КМ
1443,ЖЕМЧУЖ,ЖЕМЧУЖНАЯ,ЖЕМЧУЖНАЯ
1445,РУЧ-К,РУЧЬИ-КАРЕЛ.,РУЧЬИ-КАРЕЛЬСКИЕ
