/BIC/ZVCH_STAT,TXTSH,TXTMD,TXTLG
22381,П315КМ,ПОСТ 315 КМ,ПОСТ 315 КМ
22382,РЯЖСК2,РЯЖСК2,РЯЖСК2
22384,,ПОСТ 315 КМ-САИПС,ПОСТ 315 КМ САИПС
22419,,УЗЛОВАЯ-I-НЕЧ,УЗЛОВАЯ-I-НЕЧ
22420,УЗЛОВ1,УЗЛОВАЯ 1,УЗЛОВАЯ 1
22421,РУДНЕВ,РУДНЕВО,РУДНЕВО
22422,,ДЕПО,ДЕПО
22430,УЗЛОВ2,УЗЛОВАЯ 2,УЗЛОВАЯ 2
22431,БП217К,БП 217 КМ,БЛОК-ПОСТ 217 КМ
22440,УЗЛОВ3,УЗЛОВАЯ 3,УЗЛОВАЯ 3
22451,ПРИЛЕС,ПРИЛЕСЬЕ,ПРИЛЕСЬЕ
22452,ПОЛУНН,ПОЛУНИНО,ПОЛУНИНО
22460,ЖДАНКА,ЖДАНКА,ЖДАНКА
22461,ОП255К,ОП 255 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 255 КМ
22470,ТВРКВО,ТОВАРКОВО,ТОВАРКОВО
22471,ОП268К,ОП 268 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 268 КМ
22472,МАЛЕВК,МАЛЕВКА,МАЛЕВКА
22473,ОП278К,ОП 278 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 278 КМ
22479,,ВОЛОВО-САИПС,ВОЛОВО САИПС
22480,ВОЛОВО,ВОЛОВО,ВОЛОВО
22481,ОП290К,ОП 290 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 290 КМ
22482,ОП293К,ОП 293 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 293 КМ
22490,КАРАСИ,КАРАСИ,КАРАСИ
22491,ОП305К,ОП 305 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 305 КМ
22492,КАРАСИ,КАРАСИ,КАРАСИ
22500,ТУРДЕЙ,ТУРДЕЙ,ТУРДЕЙ
22501,ОП131К,ОП 131 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 131 КМ
22511,НЕПРЯД,НЕПРЯДВА,НЕПРЯДВА
22520,М.АНДР,М. АНДРЕЕВКА,МАЛАЯ АНДРЕЕВКА
22521,ОП325К,ОП 325 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 325 КМ
22522,БУРЕЛМ,БУРЕЛОМ,БУРЕЛОМ
22523,ОП332К,ОП 332 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 332 КМ
22524,ОП335К,ОП 335 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 335 КМ
22530,ЕФРЕМВ,ЕФРЕМОВ,ЕФРЕМОВ
22531,,ЕФРЕМОВ-САИПС,ЕФРЕМОВ САИПС
22560,БОБР-Д,БОБРИК-ДОН.,БОБРИК-ДОНСКОЙ
22561,ОП23КМ,ОП 23 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 23 КМ
22570,СБОР-У,СБОРНАЯ-УГ.,СБОРНАЯ-УГОЛЬНАЯ
22571,НВМСК1,НОВОМОСК.1,НОВОМОСКОВСКАЯ 1
22580,УРВАНК,УРВАНКА,УРВАНКА
22581,МОСКОВ,МОСКОВСКАЯ,МОСКОВСКАЯ
22582,ГИПСОВ,ГИПСОВЫЙ,ГИПСОВЫЙ
22583,АЭРОЗЛ,АЭРОЗОЛЬНЫЙ,АЭРОЗОЛЬНЫЙ
22584,АНИЛИН,АНИЛИНОВАЯ,АНИЛИНОВАЯ
22590,КЛЮЧЕВ,КЛЮЧЕВКА,КЛЮЧЕВКА
22601,МОЛДЖН,МОЛОДЕЖНАЯ,МОЛОДЕЖНАЯ
22611,ЗАДНСК,ЗАДОНСКАЯ,ЗАДОНСКАЯ
22620,СОКОЛН,СОКОЛЬНИКИ,СОКОЛЬНИКИ
22630,НВМСК2,НОВОМОСК.2,НОВОМОСКОВСКАЯ 2
22631,ГРЭС,ГРЭС,ГРЭС
22632,ХИМКМБ,ХИМКОМБИНАТ,ХИМКОМБИНАТ
22633,ЗАВПАР,ЗАВОДСК.ПАРК,ЗАВОДСКОЙ ПАРК
22640,СЕВЕРН,СЕВЕРНАЯ,СЕВЕРНАЯ
22650,МАКЛЕЦ,МАКЛЕЦ,МАКЛЕЦ
22651,П210КМ,ПОСТ 210 КМ,ПОСТ 210 КМ
22652,П205КМ,ПОСТ 205 КМ,ПОСТ 205 КМ
22660,ГРИЦОВ,ГРИЦОВО,ГРИЦОВО
22661,ОП193К,ОП 193 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 193 КМ
22662,ОЛЬХОВ,ОЛЬХОВКА,ОЛЬХОВКА
22663,ОП180К,ОП 180 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 180 КМ
22670,ВЕНЕВ,ВЕНЕВ,ВЕНЕВ
22671,ОП166К,ОП 166 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 166 КМ
22672,ОП163К,ОП 163 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 163 КМ
22673,НАСТСН,НАСТАСЬИНО,НАСТАСЬИНО
22674,ОП156К,ОП 156 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 156 КМ
22675,,ПЛ 168 КМ,ПЛАТФОРМА 168 КМ
22680,МОРДВС,МОРДВЕС,МОРДВЕС
22681,ОП142К,ОП 142 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 142 КМ
22682,ОП137К,ОП 137 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 137 КМ
22683,ПЧЕЛВД,ПЧЕЛОВОДНОЕ,ПЧЕЛОВОДНОЕ
22684,ОП126К,ОП 126 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 126 КМ
22685,ОП123К,ОП 123 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 123 КМ
22720,КИМОВС,КИМОВСК,КИМОВСК
22721,ВОДБОЛ,ВОДБОЛЬСКОЕ,ВОДБОЛЬСКОЕ
22722,ГРАНКИ,ГРАНКИ,ГРАНКИ
22729,ЛЬВОВО,ЛЬВОВО,ЛЬВОВО
22730,ЛЬВОВО,ЛЬВОВО,ЛЬВОВО
22731,ОП393К,ОП 393 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 393 КМ
22732,ОП 6КМ,ОП  6 КМ,ОСТАНОВОЧНЫЙ ПУНКТ  6 КМ
22733,ОП10КМ,ОП 10 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 10 КМ
22734,ОВЧАРК,ОВЧАРОВКА,ОВЧАРОВКА
22735,КАЗАНВ,КАЗАНОВКА,КАЗАНОВКА
22750,КЛЕКТК,КЛЕКОТКИ,КЛЕКОТКИ
22760,МЛЛИОН,МИЛЛИОННАЯ,МИЛЛИОННАЯ
22761,ОП422К,ОП 422 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 422 КМ
22770,ПАВ-СЗ,ПАВЕЛЕЦ-СЫЗР,ПАВЕЛЕЦ-СЫЗРАНСКИЙ
22771,ОП431К,ОП 431 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 431 КМ
22772,ЛАЗИНК,ЛАЗИНКА,ЛАЗИНКА
22790,ВОСЛЕБ,ВОСЛЕБОВО,ВОСЛЕБОВО
22791,,ОП 442 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 442 КМ
22800,СКОПИН,СКОПИН,СКОПИН
22801,БРИКТН,БРИКЕТНАЯ,БРИКЕТНАЯ
22802,ОП464К,ОП 464 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 464 КМ
22810,ЖЕЛТУХ,ЖЕЛТУХИНО,ЖЕЛТУХИНО
22811,ГОВОРВ,ГОВОРОВО,ГОВОРОВО
22819,,ПАВЕЛЕЦ-САИПС,ПАВЕЛЕЦ САИПС
22820,ПАВЛ-Т,ПАВЕЛЕЦ-ТУЛ,ПАВЕЛЕЦ-ТУЛЬСКИЙ
22822,КРЕМЛВ,КРЕМЛЕВО,КРЕМЛЕВО
22823,МШАНКА,МШАНКА,МШАНКА
22824,КАТИНО,КАТИНО,КАТИНО
22825,ВОЛШУТ,ВОЛШУТА,ВОЛШУТА
22830,ЛУЖКВС,ЛУЖКОВСКАЯ,ЛУЖКОВСКАЯ
22831,ГОЛДИН,ГОЛДИНО,ГОЛДИНО
22832,БОЯРИН,БОЯРИНЦЕВО,БОЯРИНЦЕВО
22840,МХАЙЛВ,МИХАЙЛОВ,МИХАЙЛОВ
22841,ДОНЦЫ,ДОНЦЫ,ДОНЦЫ
22851,ЦЕМЕНТ,ЦЕМЕНТНАЯ,ЦЕМЕНТНАЯ
22860,ВИЛЕНК,ВИЛЕНКИ,ВИЛЕНКИ
22871,КРБЛВК,КОРАБЛЕВКА,КОРАБЛЕВКА
22872,ТРЕПОЛ,ТРЕПОЛЬЕ,ТРЕПОЛЬЕ
22880,С.ПРУД,СЕРЕБР.ПРУДЫ,СЕРЕБРЯНЫЕ ПРУДЫ
22881,ДУД-СР,ДУДИНО-СЕРЕБ,ДУДИНО-СЕРЕБРЯНОЕ
22882,ОП162К,ОП 162 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 162 КМ
22889,,ВАЛИЩЕВО,ВАЛИЩЕВО
22890,УЗУНВО,УЗУНОВО,УЗУНОВО
22891,КОРОВН,КОРОВИНО,КОРОВИНО
22892,ОП146К,ОП 146 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 146 КМ
22893,ОП60КМ,ОП 60 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 60 КМ
22894,ЛАТЫГ,ЛАТЫГОРЫ,ЛАТЫГОРЫ
22895,ОП152К,ОП 152 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 152 КМ
22896,РЗД7КМ,РЗД 7 КМ,РАЗЪЕЗД 7 КМ
22897,РЗД12К,РЗД 12 КМ,РАЗЪЕЗД 12 КМ
22898,РЗД18К,РЗД 18 КМ,РАЗЪЕЗ 18 КМ
22899,РЗД22К,РЗД 22 КМ,РАЗЪЕЗД 22 КМ
22901,,РЗД 47 КМ,РАЗЪЕЗД 47 КМ
22910,МАК-МС,МАКЕЕВО-МОСК,МАКЕЕВО-МОСКОВСКОЕ
22911,ВЕРЕЙК,ВЕРЕЙКИНО,ВЕРЕЙКИНО
22912,ЖОКОВО,ЖОКОВО,ЖОКОВО
22913,ЛОШТВК,ЛОШАТОВКА,ЛОШАТОВКА
22914,КЛЕМВО,КЛЕМОВО,КЛЕМОВО
22915,РЗД24К,РЗД 24 КМ,РАЗЪЕЗД 24 КМ
22916,РЗД28К,РЗД 28 КМ,РАЗЪЗД 28 КМ
22917,РЗД35К,РЗД 35 КМ,РАЗЪЕЗД 35 КМ
22918,ОП53КМ,ОП 53 КМ,ОСТАНОВОЧЫЙ ПУНКТ 53 КМ
22919,ОП56КМ,ОП 56 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 56 КМ
22950,БОГАТЩ,БОГАТИЩЕВО,БОГАТИЩЕВО
22951,ТОПКАН,ТОПКАНОВО,ТОПКАНОВО
22952,ОП137К,ОП 137 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 137 КМ
22960,ПУРЛОВ,ПУРЛОВО,ПУРЛОВО
22961,ОП131К,ОП 131 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 131 КМ
22962,,БП 123 КМ,БЛОКПОСТ 123 КМ
22970,ОЖЕРЕЛ,ОЖЕРЕЛЬЕ,ОЖЕРЕЛЬЕ
22971,ОП121К,ОП 121 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 121 КМ
23000,ОРЕХ-З,ОРЕХОВО-ЗУЕВ,ОРЕХОВО-ЗУЕВО
23001,КРУТОЕ,КРУТОЕ,КРУТОЕ
23002,ВОИНОВ,ВОИНОВО,ВОИНОВО
23003,,ОР-ЗУЕВО-ПАРК А,ОРЕХОВО-ЗУЕВО-ПАРК А
23004,,ПП 97 КМ,ПУТ. ПОСТ 97 КМ
23005,,ОР-ЗУЕВО-ПАРК В,ОРЕХОВО-ЗУЕВО-ПАРК В
23006,,ОР-ЗУЕВО-ПАРК Т,ОРЕХОВО-ЗУЕВО-ПАРК Т
23007,,ОР-ЗУЕВО-ПАРК Д,ОРЕХОВО-ЗУЕВО-ПАРК Д
23009,,ОРЕХОВО-1,ОРЕХОВО-1
23010,РЕУТОВ,РЕУТОВО,РЕУТОВО
23011,НИКОЛС,НИКОЛЬСКОЕ,НИКОЛЬСКОЕ
23012,САЛТЫК,САЛТЫКОВСКАЯ,САЛТЫКОВСКАЯ
23013,КУЧИНО,КУЧИНО,КУЧИНО
23014,,ОРЕХОВО-ЗУЕВО-П,ОРЕХОВО-ЗУЕВО-П
23015,,ОРЕХОВО-ЗУЕВО-Ч,ОРЕХОВО-ЗУЕВО-Ч
23016,,ОРЕХОВО-ЗУЕВО-В,ОРЕХОВО-ЗУЕВО-В
23020,СТРЙКА,СТРОЙКА,СТРОЙКА
23021,ГОРНКИ,ГОРЕНКИ,ГОРЕНКИ
23030,БАЛАШХ,БАЛАШИХА,БАЛАШИХА
23040,ЖЛЗНДР,ЖЕЛЕЗНОДОР-Я,ЖЕЛЕЗНОДОРОЖНАЯ
23041,ЧЕРНОЕ,ЧЕРНОЕ,ЧЕРНОЕ
23042,ОП30КМ,ОП 30 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 30 КМ
23050,КУПАВН,КУПАВНА,КУПАВНА
23051,ОП33КМ,ОП 33 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 33 КМ
23060,ЭЛКТРГ,ЭЛЕКТРОУГЛИ,ЭЛЕКТРОУГЛИ
23061,ПЛ43КМ,ПЛ 43 КМ,ПЛАТФОРМА 43 КМ
23070,ХРАПУН,ХРАПУНОВО,ХРАПУНОВО
23071,ЕСИНО,ЕСИНО,ЕСИНО
23080,ФРЯЗЕВ,ФРЯЗЕВО,ФРЯЗЕВО
23081,КАЗНСК,КАЗАНСКОЕ,КАЗАНСКОЕ
23082,ВОХНА,ВОХНА,ВОХНА
23083,МТАЛЛР,МЕТАЛЛУРГ,МЕТАЛЛУРГ
23090,ЭЛКТРС,ЭЛЕКТРОСТАЛЬ,ЭЛЕКТРОСТАЛЬ
23091,МАШИНС,МАШИНОСТРОИТ,МАШИНОСТРОИТЕЛЬ
23099,,НОГИНСК-ЧЕТ,НОГИНСК-ЧЕТ
23100,НОГНСК,НОГИНСК,НОГИНСК
23101,ЗАХАРВ,ЗАХАРОВО,ЗАХАРОВО
23110,П.ПОСД,ПАВЛОВ.ПОСАД,ПАВЛОВСКИЙ ПОСАД
23111,НАЗАР,НАЗАРЬЕВО,НАЗАРЬЕВО
23112,ЛЕНСК,ЛЕНСКАЯ,ЛЕНСКАЯ
23113,КОВРИГ,КОВРИГИНО,КОВРИГИНО
23114,ОП14КМ,ОП 14 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 14 КМ
23115,ЭЛКТРГ,ЭЛЕКТРОГОРСК,ЭЛЕКТРОГОРСК
23121,КАБАНВ,КАБАНОВО,КАБАНОВО
23122,ОП87КМ,ОП 87 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 87 КМ
23123,ДРЕЗНА,ДРЕЗНА,ДРЕЗНА
23140,УСАД,УСАД,УСАД
23141,ГЛБКВО,ГЛУБОКОВО,ГЛУБОКОВО
23150,ПОКРОВ,ПОКРОВ,ПОКРОВ
23151,ПЛ113К,ПЛ 113  КМ,ПЛАТФОРМА 113  КМ
23152,ОМУТЩЕ,ОМУТИЩЕ,ОМУТИЩЕ
23153,ЛЕОНВО,ЛЕОНОВО,ЛЕОНОВО
23160,ДУЛЕВО,ДУЛЕВО,ДУЛЕВО
23161,РУНОВО,РУНОВО,РУНОВО
23162,,ДУЛЕВО-НЕЧ,ДУЛЕВО-НЕЧ
23163,,ПЛ 122 КМ,ПЛАТФОРМА 122 КМ
23164,,ЦЕНТРАЛЬНЫЙ БП,ЦЕНТРАЛЬНЫЙ БП
23165,,ДЕПО,ДЕПО
23166,,СЕВЕРНЫЙ,СЕВЕРНЫЙ
23167,,ДУЛЕВО-П,ДУЛЕВО-П
23170,ДАВЫДВ,ДАВЫДОВО,ДАВЫДОВО
23171,,ДАВЫДОВО-НЕЧ,ДАВЫДОВО-НЕЧ
23180,КУРОВС,КУРОВСКАЯ,КУРОВСКАЯ
23181,ОП95КМ,ОП 95 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 95 КМ
23182,НЕРСК,НЕРСКАЯ,НЕРСКАЯ
23183,ОП90КМ,ОП 90 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 90 КМ
23190,АВСЮН,АВСЮНИНО,АВСЮНИНО
23191,ЗАПОЛЦ,ЗАПОЛИЦЫ,ЗАПОЛИЦЫ
23192,ЗАПУТН,ЗАПУТНАЯ,ЗАПУТНАЯ
23200,ШАТУРТ,ШАТУРТОРФ,ШАТУРТОРФ
23201,Ш-TOP,ШАТУРТОРФ,ШАТУРТОРФ
23210,ШАТУРА,ШАТУРА,ШАТУРА
23211,БОТИНО,БОТИНО,БОТИНО
23230,КРИВНД,КРИВАНДИНО,КРИВАНДИНО
23231,ТУГЛЕС,ТУГОЛЕСЬЕ,ТУГОЛЕСЬЕ
23232,ВОЙМЕЖ,ВОЙМЕЖНЫЙ,ВОЙМЕЖНЫЙ
23241,ПОЖОГА,ПОЖОГА,ПОЖОГА
23242,ОП29КМ,ОП 29 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 29 КМ
23243,ОСАНОВ,ОСАНОВО,ОСАНОВО
23244,,ОП 15 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 15 КМ
23250,БАРМИН,БАРМИНО,БАРМИНО
23251,БAPMH,БАРМИНО,БАРМИНО
23252,CAЗOH,САЗОНОВО,САЗОНОВО
23260,САЗОНВ,САЗОНОВО,САЗОНОВО
23261,ОП47КМ,ОП 47 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 47 КМ
23270,РЯЗНВК,РЯЗАНОВКА,РЯЗАНОВКА
23280,С.БОР,СОРОКОВ.БОР,СОРОКОВОЙ БОР
23290,ПИЛЕВО,ПИЛЕВО,ПИЛЕВО
23300,ВОЙМЕЖ,ВОЙМЕЖНЫЙ,ВОЙМЕЖНЫЙ
23310,ЧЕРУСТ,ЧЕРУСТИ,ЧЕРУСТИ
23311,,ЧЕРУСТИ-САИПС,ЧЕРУСТИ САИПС
23331,ПЛ32КМ,ПЛ 32   КМ,ПЛАТФОРМА 32   КМ
23332,ЕГОР.2,ЕГОРЬЕВСК 2,ЕГОРЬЕВСК 2
23333,РУДНИК,РУДНИКОВСКАЯ,РУДНИКОВСКАЯ
23334,БЕРЕНД,БЕРЕНДИНО,БЕРЕНДИНО
23335,ЛОПАТН,ЛОПАТИНО,ЛОПАТИНО
23336,ИЛ.ПОГ,ИЛЬИН.ПОГОСТ,ИЛЬИНСКИЙ ПОГОСТ
23340,ЕГОР.1,ЕГОРЬЕВСК 1,ЕГОРЬЕВСК 1
23351,ХОРЛОВ,ХОРЛОВО,ХОРЛОВО
23354,,ПОСТ 13 КМ,ПОСТ 13 КМ
23360,ВСКРСН,ВОСКРЕСЕНСК,ВОСКРЕСЕНСК
23361,ШИФЕРН,ШИФЕРНАЯ,ШИФЕРНАЯ
23362,МОСКВР,МОСКВОРЕЦКАЯ,МОСКВОРЕЦКАЯ
23363,ЦЕМГИГ,ЦЕМГИГАНТ,ЦЕМГИГАНТ
23364,,БП 61 КМ,БЛОКПОСТ 61 КМ
23370,ПЕСКИ,ПЕСКИ,ПЕСКИ
23371,КОНБОР,КОНЕВ БОР,КОНЕВ БОР
23372,ХОРОШВ,ХОРОШЕВО,ХОРОШЕВО
23373,ПЛ113К,ПЛ 113  КМ,ПЛАТФОРМА 113  КМ
23374,КОЛОМН,КОЛОМНА,КОЛОМНА
23380,ГОЛУТВ,ГОЛУТВИН,ГОЛУТВИН
23381,БАЧМАН,БАЧМАНОВО,БАЧМАНОВО
23382,Р 6 КМ,РАЗ'ЕЗД 6 КМ,РАЗ'ЕЗД 6 КМ
23383,СЫЧЕВО,СЫЧЕВО,СЫЧЕВО
23384,ЛЫСЦОВ,ЛЫСЦОВСКАЯ,ЛЫСЦОВСКАЯ
23385,СЕМНОВ,СЕМЕНОВСКИЙ,СЕМЕНОВСКИЙ
23386,ПЛ18КМ,ПЛ 18   КМ,ПЛАТФОРМА 18   КМ
23390,КАРАСВ,КАРАСЕВО,КАРАСЕВО
23391,КУДРЯВ,КУДРЯВЦЕВО,КУДРЯВЦЕВО
23392,ДАНИЛВ,ДАНИЛОВСКАЯ,ДАНИЛОВСКАЯ
23393,ПЛ30КМ,ПЛ 30   КМ,ПЛАТФОРМА 30   КМ
23394,ОП38КМ,ОП 38 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 38 КМ
23400,ОЗЕРЫ,ОЗЕРЫ,ОЗЕРЫ
23410,ЩУРОВО,ЩУРОВО,ЩУРОВО
23411,ПЕРОЧИ,ПЕРОЧИ,ПЕРОЧИ
23412,ЧЕРНАЯ,ЧЕРНАЯ,ЧЕРНАЯ
23413,ПЛ132К,ПЛ 132  КМ,ПЛАТФОРМА 132  КМ
23420,ЛУХОВЦ,ЛУХОВИЦЫ,ЛУХОВИЦЫ
23421,ПЛ142К,ПЛ 142  КМ,ПЛАТФОРМА 142  КМ
23422,ПДЛИПК,ПОДЛИПКИ,ПОДЛИПКИ
23423,ПЛ 8КМ,ПЛ  8   КМ,ПЛАТФОРМА  8   КМ
23424,САРЫБВ,САРЫБЬЕВО,САРЫБЬЕВО
23425,МЕЛЬГН,МЕЛЬГУНОВО,МЕЛЬГУНОВО
23426,ПРУДКИ,ПРУДКИ,ПРУДКИ
23430,ЗАРАЙС,ЗАРАЙСК,ЗАРАЙСК
23440,ФРУКТВ,ФРУКТОВАЯ,ФРУКТОВАЯ
23450,АЛПАТВ,АЛПАТЬЕВО,АЛПАТЬЕВО
23451,СЛЕМЫ,СЛЕМЫ,СЛЕМЫ
23461,ИСТОДН,ИСТОДНИКИ,ИСТОДНИКИ
23462,ДИВОВО,ДИВОВО,ДИВОВО
23463,,ПЛ 179 КМ,ПЛАТФОРМА 179 КМ
23480,МЫТИЩИ,МЫТИЩИ,МЫТИЩИ
23481,СТРОИТ,СТРОИТЕЛЬ,СТРОИТЕЛЬ
23482,ЧЕЛЮСК,ЧЕЛЮСКИНСКАЯ,ЧЕЛЮСКИНСКАЯ
23483,ТАРСВС,ТАРАСОВСКАЯ,ТАРАСОВСКАЯ
23484,КЛЯЗМА,КЛЯЗЬМА,КЛЯЗЬМА
23485,МАМНТВ,МАМОНТОВСКАЯ,МАМОНТОВСКАЯ
23486,ДИНАМО,ДИНАМО,ДИНАМО
23487,ПОБЕДА,ПОБЕДА,ПОБЕДА
23488,ПИРОГВ,ПИРОГОВО,ПИРОГОВО
23490,ПДЛ-ДЧ,ПОДЛИПКИ-ДАЧ,ПОДЛИПКИ-ДАЧНЫЕ
23500,БОЛЩЕВ,БОЛШЕВО,БОЛШЕВО
23501,ВАЛЕНТ,ВАЛЕНТИНОВКА,ВАЛЕНТИНОВКА
23502,ЗАГОРН,ЗАГОРЯНСКАЯ,ЗАГОРЯНСКАЯ
23503,ФАБ 1М,ФАБ-КА 1 МАЯ,ФАБРИКА 1 МАЯ
23510,ЗЛ.БОР,ЗЕЛЕНЫЙ БОР,ЗЕЛЕНЫЙ БОР
23512,ИВАНТ2,ИВАНТЕЕВКА 2,ИВАНТЕЕВКА 2
23520,ИВАНТВ,ИВАНТЕЕВКА,ИВАНТЕЕВКА
23521,ДТСКАЯ,ДЕТСКАЯ,ДЕТСКАЯ
23530,ФРЯЗИН,ФРЯЗИНО,ФРЯЗИНО
23531,ФРЯЗ-П,ФРЯЗИНО-ПАС,ФРЯЗИНО-ПАССАЖИРСКАЯ
23540,СОКОЛВ,СОКОЛОВСКАЯ,СОКОЛОВСКАЯ
23541,ВОРОНК,ВОРОНОК,ВОРОНОК
23550,ЩЕЛКОВ,ЩЕЛКОВО,ЩЕЛКОВО
23551,ГАГАРН,ГАГАРИНСКАЯ,ГАГАРИНСКАЯ
23560,ЧКАЛВС,ЧКАЛОВСКАЯ,ЧКАЛОВСКАЯ
23561,БАХЧИВ,БАХЧИВАНДЖИ,БАХЧИВАНДЖИ
23562,ЦИОЛКВ,ЦИОЛКОВСКАЯ,ЦИОЛКОВСКАЯ
23563,ОСЕЕВС,ОСЕЕВСКАЯ,ОСЕЕВСКАЯ
23570,МОНИНО,МОНИНО,МОНИНО
23571,КАШИНО,КАШИНО,КАШИНО
23572,КОЛОНТ,КОЛОНТАЕВО,КОЛОНТАЕВО
23573,ОП64КМ,ОП 64 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 64 КМ
23590,ПУШКИН,ПУШКИНО,ПУШКИНО
23591,ЗАВ.ИЛ,ЗАВЕТ ИЛЬИЧА,ЗАВЕТЫ ИЛЬИЧА
23592,ПРАВДА,ПРАВДА,ПРАВДА
23593,ЗЕЛНГР,ЗЕЛЕНОГРАДСК,ЗЕЛЕНОГРАДСКАЯ
23594,ОП43КМ,ОП 43 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 43 КМ
23599,,СОФРИНО-НЕЧ,СОФРИНО-НЕЧ
23600,СОФРИН,СОФРИНО,СОФРИНО
23601,АШКНСК,АШУКИНСКАЯ,АШУКИНСКАЯ
23602,КАЛСТВ,КАЛИСТОВО,КАЛИСТОВО
23603,РАДНЕЖ,РАДОНЕЖ,РАДОНЕЖ
23605,АБРМЦВ,АБРАМЦЕВО,АБРАМЦЕВО
23610,КРСНАР,КРАСНОАРМЕЙС,КРАСНОАРМЕЙСК
23611,СОФРН2,СОФРИНО 2,СОФРИНО 2
23612,РАХМАН,РАХМАНОВО,РАХМАНОВО
23613,ФЕДОРВ,ФЕДОРОВСКОЕ,ФЕДОРОВСКОЕ
23614,ПУТИЛВ,ПУТИЛОВО,ПУТИЛОВО
23620,ХОТЬКВ,ХОТЬКОВО,ХОТЬКОВО
23621,СЕМХОЗ,СЕМХОЗ,СЕМХОЗ
23630,СРГ.ПС,СЕРГ.ПОСАД,СЕРГИЕВ ПОСАД
23631,ОП76КМ,ОП 76 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 76 КМ
23632,П 81КМ,ПОСТ 81 КМ,ПОСТ 81 КМ
23633,ОП83КМ,ОП 83 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 83 КМ
23640,КОСТИН,КОСТИНО,КОСТИНО
23641,ОП61КМ,ОП 61 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 61 КМ
23650,ЖЕЛТИК,ЖЕЛТИКОВО,ЖЕЛТИКОВО
23651,ОП47КМ,ОП 47 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 47 КМ
23652,БУБЯКВ,БУБЯКОВО,БУБЯКОВО
23653,ОП39КМ,ОП 39 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 39 КМ
23660,НАУГОЛ,НАУГОЛЬНЫЙ,НАУГОЛЬНЫЙ
23670,БУЖАН,БУЖАНИНОВО,БУЖАНИНОВО
23671,ОП90КМ,ОП 90 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 90 КМ
23680,АРСАКИ,АРСАКИ,АРСАКИ
23690,СТРУН,СТРУНИНО,СТРУНИНО
23699,,БП 108КМ,БЛОКПОСТ 108КМ
23700,АЛЕКСД,АЛЕКСАНДРОВ,АЛЕКСАНДРОВ
23701,АЛКСН2,АЛЕКСАНДРОВ2,АЛЕКСАНДРОВ2
23705,,АЛЕКС-САИПС,АЛЕКСАНДРОВ САИПС
23720,КАРАБН,КАРАБАНОВО,КАРАБАНОВО
23721,ОП126К,ОП 126 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 126 КМ
